"OPE ID","School","State","Zip Code","School Type","Recipients","Disbursements","Year","Date"
143400,"American University (The)","DC","200168020","Private/Non-Profit",556,1543612,"2005",2005
143700,"Catholic University of America (The)","DC","200640002","Private/Non-Profit",796,1159214,"2005",2005
144400,"George Washington University","DC","200522353","Private/Non-Profit",2367,6208395,"2005",2005
144500,"Georgetown University","DC","200571252","Private/Non-Profit",2051,9778697,"2005",2005
144800,"Howard University","DC","200590001","Private/Non-Profit",119,426312,"2005",2005
208300,"Morgan State University","MD","212510002","Public",289,512583,"2005",2005
210500,"University of Maryland - Baltimore County","MD","212500002","Public",215,381030,"2005",2005
374900,"George Mason University","VA","220304444","Public",379,700457,"2005",2005
374500,"University of Virginia","VA","229032600","Public",1587,4671716,"2005",2005
143400,"American University (The)","DC","200168020","Private/Non-profit",616,1738142,"2006",2006
143700,"Catholic University of America (The)","DC","200640002","Private/Non-profit",782,1253236,"2006",2006
144400,"George Washington University","DC","200522353","Private/Non-profit",2454,4758710,"2006",2006
144500,"Georgetown University","DC","200571252","Private/Non-profit",1204,5465439,"2006",2006
144800,"Howard University","DC","200590001","Private/Non-profit",102,441252,"2006",2006
208300,"Morgan State University","MD","212510002","Public",289,509087,"2006",2006
210500,"University of Maryland - Baltimore County","MD","212500002","Public",263,511888,"2006",2006
374900,"George Mason University","VA","220304444","Public",463,853907,"2006",2006
374500,"University of Virginia","VA","229032600","Public",1374,3713233,"2006",2006
143400,"American University (The)","DC","200168020","Private",625,1769310,"2007",2007
143700,"Catholic University of America (The)","DC","200640002","Private",655,982000,"2007",2007
144400,"George Washington University","DC","200522353","Private",2281,5033851,"2007",2007
144500,"Georgetown University","DC","200571252","Private",1009,4670992,"2007",2007
144800,"Howard University","DC","200590001","Private",132,532261,"2007",2007
208300,"Morgan State University","MD","212510002","Public",132,246052,"2007",2007
210500,"University of Maryland - Baltimore County","MD","212500002","Public",129,256894,"2007",2007
210300,"University of Maryland, College Park","MD","207425145","Public",1289,2186770,"2007",2007
374900,"George Mason University","VA","220304444","Public",438,807804,"2007",2007
374500,"University of Virginia","VA","229032600","Public",1345,3153797,"2007",2007
143400,"American University (The)","DC","200168020","Private/Non-profit",535,1513284,"2008",2008
143700,"Catholic University of America (The)","DC","200640002","Private/Non-profit",629,857050,"2008",2008
144400,"George Washington University","DC","200522353","Private/Non-profit",1652,3167065,"2008",2008
144500,"Georgetown University","DC","200571252","Private/Non-profit",738,3269433,"2008",2008
144800,"Howard University","DC","200590001","Private/Non-profit",20,81739,"2008",2008
208300,"Morgan State University","MD","212510002","Public",110,199345,"2008",2008
210500,"University of Maryland - Baltimore County","MD","212500002","Public",110,208300,"2008",2008
210300,"University of Maryland, College Park","MD","207425145","Public",79,85461,"2008",2008
374900,"George Mason University","VA","220304444","Public",468,887975,"2008",2008
374500,"University of Virginia","VA","229032600","Public",1500,2917902,"2008",2008
143400,"American University (The)","DC","200168020","Private/Non-profit",464,1325932,"2009",2009
143700,"Catholic University of America (The)","DC","200640002","Private/Non-profit",0,0,"2009",2009
144400,"George Washington University","DC","200522353","Private/Non-profit",690,1011920,"2009",2009
144500,"Georgetown University","DC","200571252","Private/Non-profit",982,5222998,"2009",2009
144800,"Howard University","DC","200590001","Private/Non-profit",6,28887,"2009",2009
208300,"Morgan State University","MD","212510002","Public",60,112250,"2009",2009
210500,"University of Maryland - Baltimore County","MD","212500002","Public",129,243138,"2009",2009
210300,"University of Maryland, College Park","MD","207425145","Public",1035,1544478,"2009",2009
374900,"George Mason University","VA","220304444","Public",385,711257,"2009",2009
374500,"University of Virginia","VA","229032600","Public",1063,2063443,"2009",2009
143400,"American University (The)","DC","200168020","Private/Non-profit",559,1604465,"2010",2010
143700,"Catholic University of America (The)","DC","200640002","Private/Non-profit",0,0,"2010",2010
144400,"George Washington University","DC","200522353","Private/Non-profit",1973,3259429,"2010",2010
144500,"Georgetown University","DC","200571252","Private/Non-profit",855,4331018,"2010",2010
144800,"Howard University","DC","200590001","Private/Non-profit",14,52000,"2010",2010
208300,"Morgan State University","MD","212510002","Public",27,48250,"2010",2010
210500,"University of Maryland - Baltimore County","MD","212500002","Public",176,278885,"2010",2010
210300,"University of Maryland, College Park","MD","207425145","Public",1769,1955989,"2010",2010
374900,"George Mason University","VA","220304444","Public",0,0,"2010",2010
374500,"University of Virginia","VA","229032600","Public",1312,2768831,"2010",2010
143400,"American University (The)","DC","200168020","Private/Non-Profit",613,1790653,"2011",2011
143700,"Catholic University of America (The)","DC","200640002","Private/Non-Profit",425,792948,"2011",2011
144400,"George Washington University","DC","200522353","Private/Non-Profit",2231,4237102,"2011",2011
144500,"Georgetown University","DC","200571252","Private/Non-Profit",1057,5988403,"2011",2011
144800,"Howard University","DC","200590001","Private/Non-Profit",18,66633,"2011",2011
208300,"Morgan State University","MD","212510002","Public",41,77673,"2011",2011
210500,"University of Maryland - Baltimore County","MD","212500002","Public",104,243736,"2011",2011
210300,"University of Maryland, College Park","MD","207425145","Public",1466,1663365,"2011",2011
374900,"George Mason University","VA","220304444","Public",0,0,"2011",2011
374500,"University of Virginia","VA","229032600","Public",1399,3011080,"2011",2011
143400,"American University (The)","DC","20016-8020","Private/Non-Profit",707,2034967,"2012",2012
143700,"Catholic University of America (The)","DC","20064-0002","Private/Non-Profit",478,913370,"2012",2012
144400,"George Washington University","DC","20052-2353","Private/Non-Profit",2277,2894406,"2012",2012
144500,"Georgetown University","DC","20057-1252","Private/Non-Profit",917,5375833,"2012",2012
144800,"Howard University","DC","20059-0001","Private/Non-Profit",160,810059,"2012",2012
208300,"Morgan State University","MD","21251-0002","Public",40,74000,"2012",2012
210500,"University of Maryland - Baltimore County","MD","21250-0002","Public",139,300000,"2012",2012
210300,"University of Maryland, College Park","MD","20742-5145","Public",650,1105015,"2012",2012
374900,"George Mason University","VA","22030-4444","Public",130,561053,"2012",2012
374500,"University of Virginia","VA","22903-2600","Public",1155,2552271,"2012",2012
143400,"American University (The)","DC","200168020","Private/Non-Profit",554,1642853,"2013",2013
143700,"Catholic University of America (The)","DC","200640002","Private/Non-Profit",499,982180,"2013",2013
144400,"George Washington University","DC","200522353","Private/Non-Profit",2237,4152283,"2013",2013
144500,"Georgetown University","DC","200571252","Private/Non-Profit",1227,8372868,"2013",2013
144800,"Howard University","DC","200590001","Private/Non-Profit",66,319750,"2013",2013
208300,"Morgan State University","MD","212510002","Public",62,115539,"2013",2013
210500,"University of Maryland - Baltimore County","MD","212500002","Public",150,289405,"2013",2013
210300,"University of Maryland, College Park","MD","207425145","Public",1130,2476895,"2013",2013
374900,"George Mason University","VA","220304444","Public",211,940800,"2013",2013
374500,"University of Virginia","VA","229032600","Public",1255,2792817,"2013",2013
143400,"American University (The)","DC","200168020","Private/Non-Profit",579,1694983,"2014",2014
143700,"Catholic University of America (The)","DC","200640002","Private/Non-Profit",587,1159710,"2014",2014
144400,"George Washington University","DC","200522353","Private/Non-Profit",2274,5120964,"2014",2014
144500,"Georgetown University","DC","200571252","Private/Non-Profit",1136,7831722,"2014",2014
144800,"Howard University","DC","200590001","Private/Non-Profit",65,331754,"2014",2014
208300,"Morgan State University","MD","212510002","Public",99,182366,"2014",2014
210300,"University of Maryland, College Park","MD","207425145","Public",1037,1995025,"2014",2014
210500,"University of Maryland - Baltimore County","MD","212500002","Public",146,294930,"2014",2014
374500,"University of Virginia","VA","229032600","Public",1313,2886834,"2014",2014
374900,"George Mason University","VA","220304444","Public",170,655150,"2014",2014
143400,"American University (The)","DC","200168020","Private/Non-Profit",427,1230319,"2015",2015
143700,"Catholic University of America (The)","DC","200640002","Private/Non-Profit",536,1088038,"2015",2015
144400,"George Washington University","DC","200522353","Private/Non-Profit",2458,4910299,"2015",2015
144500,"Georgetown University","DC","200571252","Private/Non-Profit",860,5754341,"2015",2015
144800,"Howard University","DC","200590001","Private/Non-Profit",63,320348,"2015",2015
