"OPE ID","School","State","Zip Code","School.Type","Recipients","Disbursements","Year","dpr"
"143400","American University (The)","DC","200168020","Private",1010,1704524,2016,1687.64752475248
"143700","Catholic University of America (The)","DC","200640002","Private",294,531874,2016,1809.09523809524
"1280300","Dominican House of Studies","DC","200171584","Private",4,6250,2016,1562.5
"144300","Gallaudet University","DC","200023695","Private",72,146126,2016,2029.52777777778
"144400","George Washington University","DC","200522353","Private",1219,2002992,2016,1643.14356029532
"144500","Georgetown University","DC","200571252","Private",1484,2862571,2016,1928.95619946092
"144800","Howard University","DC","200590001","Private",390,1194931,2016,3063.92564102564
"146000","Trinity College","DC","200171004","Private",100,150118,2016,1501.18
"144100","University of the District of Columbia","DC","200081175","Public",39,140854,2016,3611.64102564103
"146400","Wesley Theological Seminary","DC","200165690","Private",14,25040,2016,1788.57142857143
"205700","Allegany College of Maryland","MD","215022596","Public",124,238902,2016,1926.62903225806
"205800","Anne Arundel Community College","MD","210121895","Public",72,251651,2016,3495.15277777778
"206100","Baltimore City Community College","MD","212157893","Public",185,582304,2016,3147.58918918919
"206200","Bowie State University","MD","207159465","Public",77,138642,2016,1800.54545454545
"143600","Capitol Technology University","MD","207089759","Private",35,67917,2016,1940.48571428571
"3100700","Carroll Community College","MD","211576913","Public",28,62900,2016,2246.42857142857
"830800","Cecil College","MD","219011999","Public",35,51054,2016,1458.68571428571
"465000","Chesapeake College","MD","216790008","Public",66,118608,2016,1797.09090909091
"206400","College of Southern Maryland","MD","206460910","Public",35,103167,2016,2947.62857142857
"206300","Community College of Baltimore County","MD","212285381","Public",254,604276,2016,2379.03937007874
"206800","Coppin State University","MD","212163698","Public",171,301448,2016,1762.85380116959
"207100","Frederick Community College","MD","217029745","Public",51,93097,2016,1825.43137254902
"207200","Frostburg State University","MD","215321099","Public",174,205918,2016,1183.4367816092
"1001400","Garrett College","MD","215411265","Public",46,38887,2016,845.369565217391
"207300","Goucher College","MD","212042794","Private",243,236472,2016,973.135802469136
"207400","Hagerstown Community College","MD","217426514","Public",52,100687,2016,1936.28846153846
"207500","Harford Community College","MD","210151696","Public",61,130277,2016,2135.68852459016
"207600","Hood College","MD","217018575","Private",206,284600,2016,1381.55339805825
"817500","Howard Community College","MD","210443197","Public",104,227207,2016,2184.68269230769
"207700","Johns Hopkins University","MD","212182693","Private",1005,1758618,2016,1749.86865671642
"207800","Loyola University Maryland","MD","212102699","Private",613,1181178,2016,1926.88091353997
"208000","Maryland Institute College of Art","MD","212174191","Private",282,304022,2016,1078.09219858156
"210900","McDaniel College","MD","211574390","Private",227,222892,2016,981.903083700441
"691100","Montgomery College","MD","208501195","Public",155,598411,2016,3860.71612903226
"208300","Morgan State University","MD","212510002","Public",314,648041,2016,2063.82484076433
"208600","Mount Saint Mary's University","MD","217277799","Private",105,195578,2016,1862.64761904762
