"YEAR","STATEFIP","METRO","PERWT","SEX","AGE","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCTOT","INCWAGE"
2016,1,4,3687.25,1,71,2,200,0,0,7,71,3,30,27200,0
2016,1,4,3160.5,2,61,2,200,0,0,6,63,3,30,9600,0
2016,1,4,2558.5,1,55,1,100,0,0,11,115,1,10,356050,356000
2016,1,4,3010,2,45,1,100,0,0,11,115,1,10,80000,80000
2016,1,4,2257.5,2,14,1,100,0,0,2,25,0,0,9999999,999999
2016,1,4,3085.25,1,10,1,100,0,0,1,17,0,0,9999999,999999
2016,1,4,5117,1,42,1,100,0,0,6,64,3,30,0,0
2016,1,0,4063.5,1,34,1,100,0,0,6,63,1,10,39000,35000
2016,1,4,18963,1,59,2,200,0,0,8,81,1,10,25200,12000
2016,1,1,1580.25,1,45,1,100,0,0,6,63,1,10,6000,6000
2016,1,1,827.75,2,52,1,100,0,0,7,71,1,10,7500,7500
2016,1,4,1881.25,2,22,2,200,0,0,8,81,1,10,8000,8000
2016,1,4,4740.75,1,38,2,200,0,0,6,64,3,30,1200,0
2016,1,1,48536.25,1,45,7,700,1,100,3,30,1,10,17500,17500
2016,1,1,17232.25,2,39,7,700,1,100,3,30,2,20,12000,12000
2016,1,1,33110,1,10,7,700,1,100,2,22,0,0,9999999,999999
2016,1,0,1354.5,2,58,1,100,0,0,6,63,1,10,1400,1400
2016,1,0,3386.25,1,57,1,100,0,0,6,64,3,30,7400,7400
2016,1,4,5418,2,78,1,100,0,0,6,63,3,30,21000,0
2016,1,4,2934.75,2,39,2,200,0,0,6,63,1,10,22800,18000
2016,1,4,3010,1,49,2,200,0,0,6,63,1,10,45000,45000
2016,1,4,2182.25,1,17,2,200,0,0,5,50,3,30,0,0
2016,1,4,3612,1,13,2,200,0,0,2,25,0,0,9999999,999999
2016,1,4,6923,2,67,1,100,0,0,10,101,1,10,56900,38000
2016,1,0,39431,1,42,7,700,1,100,6,61,3,30,0,0
2016,1,0,40710.25,2,46,7,700,1,100,6,61,1,10,60000,60000
2016,1,0,62608,1,17,7,700,1,100,3,30,3,30,0,0
2016,1,4,8503.25,1,35,1,100,0,0,3,30,1,10,60000,0
2016,1,4,12341,2,14,1,100,0,0,2,26,0,0,9999999,999999
2016,1,4,11212.25,1,5,1,100,0,0,1,11,0,0,9999999,999999
2016,1,4,11287.5,1,12,1,100,0,0,2,22,0,0,9999999,999999
2016,1,4,11212.25,1,9,1,100,0,0,1,16,0,0,9999999,999999
2016,1,4,11212.25,1,7,1,100,0,0,1,14,0,0,9999999,999999
2016,1,4,8729,2,34,1,100,0,0,6,65,3,30,0,0
2016,1,0,903,1,55,2,200,0,0,6,63,1,10,20000,20000
2016,1,0,978.25,2,56,2,200,0,0,6,63,1,10,25000,25000
2016,1,4,3160.5,2,41,2,200,0,0,7,71,1,10,7200,2400
2016,1,4,5493.25,2,20,2,200,0,0,7,71,2,20,0,0
2016,1,4,3762.5,1,14,2,200,0,0,2,26,0,0,9999999,999999
2016,1,4,3386.25,2,12,2,200,0,0,2,23,0,0,9999999,999999
2016,1,0,5568.5,2,18,1,100,0,0,6,65,3,30,7900,7900
2016,1,0,35593.25,2,18,2,200,0,0,6,65,1,10,12000,12000
2016,1,0,7148.75,2,81,1,100,0,0,4,40,3,30,19500,0
2016,1,3,13244,1,82,1,100,0,0,7,71,3,30,18800,0
2016,1,3,8804.25,2,61,1,100,0,0,7,71,3,30,0,0
2016,1,4,12040,2,33,1,100,0,0,11,114,1,10,90000,90000
2016,1,4,11739,1,44,1,100,0,0,8,81,1,10,47000,38000
2016,1,4,22876,2,1,1,100,0,0,0,1,0,0,9999999,999999
2016,1,1,3461.5,1,21,1,100,0,0,6,63,3,30,0,0
2016,1,4,6546.75,2,18,8,801,0,0,6,65,3,30,2000,2000
2016,1,4,5493.25,2,72,1,100,0,0,6,63,3,30,21500,0
2016,1,4,5192.25,1,74,1,100,0,0,6,63,3,30,15200,0
2016,1,4,5719,1,68,8,801,2,200,10,101,3,30,106400,0
2016,1,4,5794.25,2,66,1,100,2,200,8,81,3,30,10700,0
2016,1,4,53879,1,33,8,801,2,200,6,61,1,10,18800,9400
2016,1,4,25359.25,2,65,2,200,0,0,5,50,3,30,8800,0
2016,1,4,28294,1,28,2,200,0,0,6,64,1,10,6800,6800
2016,1,4,8051.75,1,64,8,802,0,0,11,116,3,30,58000,0
2016,1,4,10459.75,2,54,1,100,0,0,10,101,3,30,0,0
2016,1,4,16404.5,1,24,1,100,0,0,6,65,1,10,15000,15000
2016,1,4,9556.75,1,17,1,100,0,0,6,61,3,30,0,0
2016,1,4,24004.75,2,19,9,901,0,0,6,63,2,20,0,0
2016,1,1,11889.5,2,23,1,100,0,0,7,71,1,10,5000,5000
2016,1,1,28068.25,1,25,1,100,0,0,6,63,1,10,25000,25000
2016,1,1,26036.5,2,4,1,100,0,0,1,11,0,0,9999999,999999
2016,1,1,4138.75,1,75,1,100,0,0,6,63,3,30,36000,0
2016,1,1,4289.25,2,75,1,100,0,0,6,63,3,30,18000,0
2016,1,4,5041.75,2,70,1,100,0,0,7,71,3,30,12500,0
2016,1,4,12491.5,1,24,2,200,0,0,7,71,2,20,5000,5000
2016,1,4,7073.5,2,33,1,100,0,0,10,101,1,10,42700,0
2016,1,4,12642,2,15,1,100,0,0,4,40,0,0,0,999999
2016,1,4,9030,1,4,1,100,0,0,0,2,0,0,9999999,999999
2016,1,0,978.25,1,41,1,100,0,0,10,101,1,10,49000,49000
2016,1,0,827.75,2,27,1,100,0,0,7,71,1,10,3000,3000
2016,1,0,1881.25,1,9,1,100,0,0,1,17,0,0,9999999,999999
2016,1,0,1881.25,1,7,1,100,0,0,1,15,0,0,9999999,999999
2016,1,0,1204,1,0,1,100,0,0,0,1,0,0,9999999,999999
2016,1,4,8578.5,2,67,1,100,0,0,7,71,3,30,19500,0
2016,1,4,14598.5,1,47,1,100,0,0,6,63,3,30,0,0
2016,1,4,4289.25,2,48,1,100,0,0,7,71,2,20,47000,35000
2016,1,4,8051.75,1,49,1,100,0,0,6,63,3,30,1200,0
2016,1,4,12040,1,21,1,100,0,0,6,63,1,10,14100,14100
2016,1,4,7525,1,18,1,100,0,0,6,63,1,10,17500,17500
2016,1,0,8879.5,1,93,1,100,0,0,7,71,3,30,14500,0
2016,1,0,7374.5,2,93,1,100,0,0,6,63,3,30,18100,0
2016,1,0,978.25,1,25,1,100,0,0,6,64,1,10,16000,16000
2016,1,0,1204,2,26,1,100,0,0,7,71,1,10,6400,6400
2016,1,4,6622,2,47,2,200,0,0,6,63,3,30,0,0
2016,1,4,6622,1,51,2,200,0,0,6,63,1,10,9000,9000
2016,1,4,3988.25,1,16,2,200,0,0,3,30,3,30,0,0
2016,1,0,1354.5,1,55,1,100,0,0,6,65,1,10,51800,50000
2016,1,0,1354.5,2,55,1,100,0,0,6,65,3,30,0,0
2016,1,4,8352.75,2,18,1,100,0,0,6,63,3,30,0,0
2016,1,4,4590.25,2,61,1,100,0,0,7,71,1,10,30000,30000
2016,1,0,14824.25,2,48,2,200,0,0,8,81,3,30,0,0
2016,1,0,18737.25,1,60,2,200,0,0,6,65,3,30,14400,0
2016,1,0,25208.75,2,36,2,200,0,0,7,71,1,10,2500,2500
2016,1,0,3160.5,2,66,2,200,0,0,6,63,3,30,43300,0
2016,1,4,10008.25,2,60,1,100,0,0,10,101,1,10,20000,20000
2016,1,4,2633.75,2,61,2,200,0,0,6,63,1,10,31000,31000
2016,1,4,4590.25,1,41,2,200,0,0,6,63,1,10,45000,45000
2016,1,4,4665.5,1,36,2,200,0,0,0,2,2,20,12100,0
2016,1,1,8202.25,2,37,1,100,0,0,6,65,1,10,60000,60000
2016,1,1,11814.25,1,37,1,100,0,0,7,71,1,10,60000,60000
2016,1,1,8127,2,12,1,100,0,0,2,22,0,0,9999999,999999
2016,1,1,13545,2,16,1,100,0,0,5,50,1,10,1500,1500
2016,1,1,8277.5,1,10,1,100,0,0,1,17,0,0,9999999,999999
2016,1,0,1655.5,1,66,2,200,0,0,6,61,3,30,12000,0
2016,1,0,903,2,60,2,200,0,0,8,81,1,10,64000,64000
2016,1,4,12642,2,86,1,100,0,0,6,63,3,30,25900,0
2016,1,4,8578.5,2,51,1,100,0,0,7,71,1,10,36000,36000
2016,1,4,8879.5,2,59,1,100,0,0,6,63,3,30,1200,0
2016,1,0,3762.5,2,39,1,100,0,0,4,40,2,20,350,0
2016,1,0,3461.5,1,50,1,100,0,0,10,101,1,10,50000,50000
2016,1,0,4214,2,5,1,100,0,0,0,2,0,0,9999999,999999
2016,1,4,4816,2,83,1,100,0,0,11,116,3,30,50000,0
2016,1,4,4966.5,2,25,1,100,0,0,6,63,1,10,24500,24500
2016,1,0,29197,1,28,1,100,0,0,6,65,1,10,22100,22100
2016,1,0,1505,1,75,1,100,0,0,10,101,3,30,152200,0
2016,1,0,1279.25,2,68,1,100,0,0,6,65,1,10,88000,61000
2016,1,0,2934.75,2,42,1,100,0,0,6,63,1,10,13400,13400
2016,1,4,6020,1,68,2,200,0,0,7,71,3,30,8400,0
2016,1,0,752.5,2,53,1,100,0,0,11,114,1,10,50000,50000
2016,1,4,7600.25,1,23,2,200,0,0,6,63,1,10,22000,22000
2016,1,4,13018.25,2,52,1,100,0,0,8,81,2,20,157900,11200
2016,1,4,17006.5,1,24,1,100,0,0,4,40,1,10,22900,22900
2016,1,4,14824.25,2,18,1,100,0,0,6,63,2,20,200,200
2016,1,4,19113.5,2,5,1,100,0,0,1,11,0,0,9999999,999999
2016,1,4,15351,1,31,2,200,0,0,6,65,1,10,16000,16000
2016,1,4,14899.5,2,57,2,200,0,0,6,65,3,30,12500,0
2016,1,4,8653.75,2,66,2,200,0,0,10,101,1,10,39300,10000
2016,1,4,8202.25,2,39,2,200,0,0,8,81,1,10,35000,35000
2016,1,4,5342.75,2,48,1,100,4,450,8,81,1,10,50000,50000
2016,1,4,4289.25,2,11,1,100,4,450,2,22,0,0,9999999,999999
2016,1,4,526.75,1,35,1,100,0,0,2,26,3,30,400,400
2016,1,4,6321,1,30,1,100,0,0,11,114,1,10,75000,63000
2016,1,0,1429.75,1,39,1,100,0,0,7,71,1,10,38404,38400
2016,1,0,6321,1,80,2,200,0,0,0,2,3,30,15400,0
2016,1,0,6847.75,2,71,2,200,0,0,6,63,3,30,29200,0
2016,1,0,11739,1,41,2,200,0,0,6,63,2,20,9600,0
2016,1,0,13996.5,1,29,2,200,0,0,6,63,3,30,0,0
2016,1,0,6546.75,2,11,2,200,0,0,1,17,0,0,9999999,999999
2016,1,4,9933,1,47,1,100,0,0,6,63,1,10,356100,356000
2016,1,4,11814.25,2,16,1,100,0,0,5,50,3,30,0,0
2016,1,3,7073.5,2,65,1,100,0,0,0,2,3,30,9600,0
2016,1,4,4515,1,37,2,200,0,0,6,61,1,10,640,640
2016,1,4,3386.25,1,15,2,200,0,0,2,26,0,0,0,999999
2016,1,4,5192.25,1,14,2,200,0,0,2,25,0,0,9999999,999999
2016,1,4,4214,2,38,2,200,0,0,6,65,2,20,0,0
2016,1,0,1354.5,1,59,1,100,0,0,8,81,3,30,142000,0
2016,1,0,1279.25,2,68,1,100,0,0,4,40,3,30,9200,0
2016,1,4,9632,2,43,2,200,0,0,6,65,1,10,38000,38000
2016,1,3,6697.25,2,68,1,100,0,0,5,50,3,30,12000,0
2016,1,4,5267.5,1,61,1,100,0,0,6,63,3,30,12700,0
2016,1,4,7148.75,2,32,1,100,0,0,6,63,1,10,22000,22000
2016,1,4,20919.5,2,49,2,200,0,0,7,71,1,10,11500,11500
2016,1,4,47934.25,2,21,2,200,0,0,7,71,1,10,7500,7500
