AGE,INCTOT,INCWAGE
16,869.335317460318,406.805555555556
17,1813.05870841487,1186.90802348337
18,4535.98684210526,3661.25
19,6547.1609403255,5553.25497287523
20,9157.64485981308,8605.40186915888
21,10578.9018518519,10011.037037037
22,14391.7348643006,12766.6805845512
23,16174.4604166667,15437.6666666667
24,19436.6132478632,18380.6623931624
25,24348.1827111984,23231.1394891945
26,27407.155511811,25746.5748031496
27,31967.0021598272,29899.9136069115
28,32239.2985386221,30164.5511482255
29,35660.50625,33520.0416666667
30,34265.3051823417,31577.3896353167
31,38226.2865979381,35444.5773195876
32,41195.5308880309,38686.2162162162
33,46750.8080808081,40831.1919191919
34,42651.1025641026,39371.0059171598
35,45972.4061895551,41557.9497098646
36,46436.0726915521,40808.5658153242
37,52791.6403508772,48620.3728070175
38,49420.1006289308,45011.320754717
39,48782.432967033,43273.7362637363
40,49158.8336755647,44939.6303901437
41,52726.1862527716,47958.3813747228
42,52779.9550827423,47808.1796690307
43,45066.5985748219,42082.945368171
44,52169.7295454545,47514.5454545455
45,54539.1222030981,48229.6557659208
46,56846.0123674912,51176.8197879859
47,51571.6505376344,46883.3512544803
48,55434.7835820896,49372.4813432836
49,58419.4685714286,52671.5619047619
50,50231.0814332248,42980.2117263844
51,55969.2735191638,49367.0905923345
52,59765.9912434326,50233.8178633976
53,49728.5188216039,42986.9885433715
54,53371.7118380062,43554.1121495327
55,50800.4137380192,42717.5399361022
56,52607.6736334405,42009.9196141479
57,52944.7145061728,41830.6790123457
58,53659.3467261905,45946.5029761905
59,51959.9984227129,39864.3059936909
60,46185.4710743802,34201.2396694215
61,53677.1095890411,38588.9345509893
62,51087.8937605396,33287.3187183811
63,48876.9420783646,33255.9454855196
64,44094.4504950495,24397.7557755776
65,44639.6173469388,23246.9217687075
66,48888.0816326531,20486.7532467532
67,44023.9153225807,14225.7661290323
68,38247.6534653465,10782.2376237624
69,42422.7153558052,11607.734082397
70,37941.156097561,8885.60975609756
71,39868.8421052632,7375.56390977444
72,41454.3160762943,8682.56130790191
73,33809.3944444444,5102.41666666667
74,37526.8433420366,5365.66579634465
75,39822.5465838509,5631.98757763975
76,32733.3419117647,4194.66911764706
77,31177.6426229508,1785.44262295082
78,32234.9866220736,2370.23411371237
79,36577.1908713693,2871.78423236515
80,27230.5963302752,1237.61467889908
81,27976.8248847926,465.898617511521
82,28133.824742268,1389.69072164948
83,35639.5433526012,3545.66473988439
84,30288.6,2097.2972972973
85,36358.1520467836,1219.59064327485
86,27460.661971831,797.887323943662
87,27611.1009174312,988.990825688073
88,30262.6610169492,1245.76271186441
89,32871.2222222222,546.666666666667
90,33837.7192982456,203.508771929825
91,31486.4,824
92,45621.25,1767.85714285714
93,31912.9558823529,355.882352941176
94,26436.0180722892,4.21686746987952
95,45982.8260869565,0
96,25100,0
