"YEAR","DATANUM","SERIAL","HHWT","STATEFIP","METRO","GQ","PERNUM","PERWT","SEX","AGE","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","WKSWORK2","UHRSWORK","INCTOT","INCWAGE"
2016,1,28,3612,1,4,1,1,3687.25,1,71,2,200,0,0,7,71,3,30,0,0,27200,0
2016,1,28,3612,1,4,1,2,3160.5,2,61,2,200,0,0,6,63,3,30,0,0,9600,0
2016,1,104,2558.5,1,4,1,1,2558.5,1,55,1,100,0,0,11,115,1,10,6,60,356050,356000
2016,1,104,2558.5,1,4,1,2,3010,2,45,1,100,0,0,11,115,1,10,4,20,80000,80000
2016,1,104,2558.5,1,4,1,3,2257.5,2,14,1,100,0,0,2,25,0,0,0,0,9999999,999999
2016,1,104,2558.5,1,4,1,4,3085.25,1,10,1,100,0,0,1,17,0,0,0,0,9999999,999999
2016,1,179,5117,1,4,3,1,5117,1,42,1,100,0,0,6,64,3,30,0,0,0,0
2016,1,254,4063.5,1,0,1,1,4063.5,1,34,1,100,0,0,6,63,1,10,6,40,39000,35000
2016,1,329,18887.75,1,4,1,1,18963,1,59,2,200,0,0,8,81,1,10,6,32,25200,12000
2016,1,405,1580.25,1,1,1,1,1580.25,1,45,1,100,0,0,6,63,1,10,3,40,6000,6000
2016,1,405,1580.25,1,1,1,2,827.75,2,52,1,100,0,0,7,71,1,10,5,32,7500,7500
2016,1,480,1881.25,1,4,4,1,1881.25,2,22,2,200,0,0,8,81,1,10,2,40,8000,8000
2016,1,555,4740.75,1,4,3,1,4740.75,1,38,2,200,0,0,6,64,3,30,0,0,1200,0
2016,1,630,48536.25,1,1,1,1,48536.25,1,45,7,700,1,100,3,30,1,10,6,40,17500,17500
2016,1,630,48536.25,1,1,1,2,17232.25,2,39,7,700,1,100,3,30,2,20,4,32,12000,12000
2016,1,630,48536.25,1,1,1,3,33110,1,10,7,700,1,100,2,22,0,0,0,0,9999999,999999
2016,1,706,1429.75,1,0,1,1,1354.5,2,58,1,100,0,0,6,63,1,10,1,26,1400,1400
2016,1,706,1429.75,1,0,1,2,3386.25,1,57,1,100,0,0,6,64,3,30,3,35,7400,7400
2016,1,781,5418,1,4,1,1,5418,2,78,1,100,0,0,6,63,3,30,0,0,21000,0
2016,1,856,2934.75,1,4,1,1,2934.75,2,39,2,200,0,0,6,63,1,10,6,40,22800,18000
2016,1,856,2934.75,1,4,1,2,3010,1,49,2,200,0,0,6,63,1,10,6,40,45000,45000
2016,1,856,2934.75,1,4,1,3,2182.25,1,17,2,200,0,0,5,50,3,30,0,0,0,0
2016,1,856,2934.75,1,4,1,4,3612,1,13,2,200,0,0,2,25,0,0,0,0,9999999,999999
2016,1,931,6923,1,4,1,1,6923,2,67,1,100,0,0,10,101,1,10,6,38,56900,38000
2016,1,1007,39431,1,0,1,1,39431,1,42,7,700,1,100,6,61,3,30,0,0,0,0
2016,1,1007,39431,1,0,1,2,40710.25,2,46,7,700,1,100,6,61,1,10,6,60,60000,60000
2016,1,1007,39431,1,0,1,3,62608,1,17,7,700,1,100,3,30,3,30,0,0,0,0
2016,1,1082,8503.25,1,4,1,1,8503.25,1,35,1,100,0,0,3,30,1,10,6,60,60000,0
2016,1,1082,8503.25,1,4,1,2,12341,2,14,1,100,0,0,2,26,0,0,0,0,9999999,999999
2016,1,1082,8503.25,1,4,1,3,11212.25,1,5,1,100,0,0,1,11,0,0,0,0,9999999,999999
2016,1,1082,8503.25,1,4,1,4,11287.5,1,12,1,100,0,0,2,22,0,0,0,0,9999999,999999
2016,1,1082,8503.25,1,4,1,5,11212.25,1,9,1,100,0,0,1,16,0,0,0,0,9999999,999999
