Date,Median_earnings
1/1/2000,334
4/1/2000,334
7/1/2000,335
10/1/2000,334
1/1/2001,333
4/1/2001,336
7/1/2001,338
10/1/2001,340
1/1/2002,341
4/1/2002,339
7/1/2002,337
10/1/2002,336
1/1/2003,335
4/1/2003,338
7/1/2003,337
10/1/2003,337
1/1/2004,337
4/1/2004,341
7/1/2004,335
10/1/2004,337
1/1/2005,336
4/1/2005,334
7/1/2005,331
10/1/2005,332
1/1/2006,332
4/1/2006,329
7/1/2006,334
10/1/2006,337
1/1/2007,336
4/1/2007,335
7/1/2007,336
10/1/2007,332
1/1/2008,335
4/1/2008,335
7/1/2008,331
10/1/2008,340
1/1/2009,345
4/1/2009,345
7/1/2009,345
10/1/2009,344
1/1/2010,344
4/1/2010,342
7/1/2010,342
10/1/2010,341
1/1/2011,338
4/1/2011,336
7/1/2011,336
10/1/2011,335
1/1/2012,335
4/1/2012,337
7/1/2012,333
10/1/2012,333
1/1/2013,331
4/1/2013,335
7/1/2013,334
10/1/2013,334
1/1/2014,335
4/1/2014,330
7/1/2014,336
10/1/2014,336
1/1/2015,340
4/1/2015,339
7/1/2015,341
10/1/2015,345
1/1/2016,346
4/1/2016,345
7/1/2016,347
10/1/2016,349
1/1/2017,351
4/1/2017,353
7/1/2017,353
10/1/2017,345
