date,median_hh_income
1/1/1984,49335
1/1/1985,50258
1/1/1986,52068
1/1/1987,52690
1/1/1988,53124
1/1/1989,54042
1/1/1990,53350
1/1/1991,51791
1/1/1992,51390
1/1/1993,51116
1/1/1994,51710
1/1/1995,53330
1/1/1996,54105
1/1/1997,55218
1/1/1998,57248
1/1/1999,58665
1/1/2000,58544
1/1/2001,57246
1/1/2002,56599
1/1/2003,56528
1/1/2004,56332
1/1/2005,56935
1/1/2006,57379
1/1/2007,58149
1/1/2008,56076
1/1/2009,55683
1/1/2010,54245
1/1/2011,53401
1/1/2012,53331
1/1/2013,55214
1/1/2014,54398
1/1/2015,57230
1/1/2016,59039
