URL,ADDRESS,ZIP_CODE,LAT_LON,CITY_STATE,LOCATION
http://www.redfin.com/VA/Arlington/1830-Columbia-Pike-22204/unit-205/home/11272669,1830 Columbia Pike #205,'222040000,38.8649114&-77.0760334,"Arlington, va",Lancaster Condominiums
http://www.redfin.com/VA/Arlington/4139-S-Four-Mile-Run-Dr-22204/unit-204/home/21971541,4139 Four Mile Run Dr S #204,'222040000,38.85081965&-77.09750803,"Arlington, va",West Village At Shirlington
http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-432W/home/12042691,3600 S Glebe Rd Unit 432W,'222020000,38.8422316&-77.0516627,"Arlington, va",Eclipse On Center
http://www.redfin.com/VA/Arlington/4141-S-Four-Mile-Run-Dr-22204/unit-103/home/23385384,4141 Four Mile Run Dr #103,'222040000,38.8504067&-77.097965,"Arlington, va",West Village Of Shirlington
http://www.redfin.com/VA/Arlington/2909-S-Woodley-St-22206/unit-116-13/home/11267504,2909-F Woodley St S Unit 116-13,'222060000,38.8414273&-77.0960413,"Arlington, va",Courtbridge I&ii
http://www.redfin.com/VA/Arlington/1101-S-Arlington-Ridge-Rd-22202/unit-106/home/11274704,1101 Arlington Ridge Rd #106,'222020000,38.8635823&-77.0657803,"Arlington, va",The Representative
http://www.redfin.com/VA/Arlington/2831-S-Wakefield-St-22206/unit-D/home/11267147,2831 S Wakefield St Unit D,'222060000,38.8430515&-77.0965773,"Arlington, va",The Arlington
http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-317W/home/12042626,3600 Glebe Rd S Unit 317W,'222020000,38.8422316&-77.0516627,"Arlington, va",Eclipse On Center Park
http://www.redfin.com/VA/Arlington/1300-Army-Navy-Dr-22202/unit-509/home/11275106,1300 Army Navy Dr #509,'222020000,38.8635617&-77.0669817,"Arlington, va",Horizon House
http://www.redfin.com/VA/Arlington/901-N-Monroe-St-22201/unit-1008/home/11278119,901 Monroe St N #1008,'222010000,38.8831242&-77.1026914,"Arlington, va",Virginia Square
http://www.redfin.com/VA/Arlington/4500-S-Four-Mile-Run-Dr-22204/unit-514/home/11281906,4500 Four Mile Run Dr S #514,'222040000,38.8541521&-77.1060381,"Arlington, va",The Brittany
http://www.redfin.com/VA/Arlington/4141-N-Henderson-Rd-22203/unit-804/home/11257352,4141 Henderson Rd #804,'222030000,38.8757817&-77.1093699,"Arlington, va",Hyde Park
http://www.redfin.com/VA/Arlington/2119-N-Monroe-St-22207/unit-3/home/11233188,2119 Monroe St #3,'222070000,38.896489&-77.104132,"Arlington, va",Maywood
http://www.redfin.com/VA/Arlington/1700-N-Clarendon-Blvd-22209/unit-117/home/49797926,1700 Clarendon Blvd #117,'222090000,38.8928825&-77.0779242,"Arlington, va",Gaslight Square
http://www.redfin.com/VA/Arlington/4020-20th-St-N-22207/home/11233933,4020 20th St N,'222070000,38.8944718&-77.10875,"Arlington, va",Cherrydale
http://www.redfin.com/VA/Arlington/2050-N-Calvert-St-22201/unit-408/home/11279735,2050 N Calvert St Apt 408,'222010000,38.8974418&-77.0932656,"Arlington, va",
http://www.redfin.com/VA/Arlington/2030-N-Adams-St-22201/unit-1210/home/11247033,2030 Adams St #1210,'222010000,38.8976118&-77.0896071,"Arlington, va",Circle
http://www.redfin.com/VA/Arlington/2001-15th-St-N-22201/unit-413/home/12041203,2001 15th St N #413,'222010000,38.8911907&-77.0818047,"Arlington, va",Odyssey
http://www.redfin.com/VA/Arlington/1110-S-Barton-St-22204/unit-309/home/11272883,1110 Barton St #309,'222040000,38.8615459&-77.08366,"Arlington, va",Arlington Village
