SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-12-2017,propertytype:Single Family Residential,USD880000,5,3.0,2832,9062,1954,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/1911-Sudbury-Rd-NW-20012/home/10020522,MRIS,DC10023356,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-8-2017,propertytype:Townhouse,USD270000,3,1.5,1695,NA,1978,225,Sold,NA,NA,http://www.redfin.com/DC/Washington/3108-Apple-Rd-NE-20018/unit-12/home/10107617,MRIS,DC9937770,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-8-2017,propertytype:Townhouse,USD389000,3,1.0,1479,3014,1948,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/5077-8th-St-NE-20017/home/10084077,MRIS,DC10039287,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD421000,6,3.0,2891,5609,1996,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/4917-Foote-St-NE-20019/home/10127272,MRIS,DC9978069,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-19-2017,propertytype:Townhouse,USD1115000,4,3.5,2244,2472,1913,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/1110-Park-Rd-NW-20010/home/10028458,MRIS,DC10014150,N,Y,"Wednesday- Sep 06, 2017"
PAST SALE,September-18-2017,propertytype:Townhouse,USD605000,4,2.0,1648,1751,1943,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/2415-E-St-NE-20002/home/10113069,MRIS,DC10033822,N,Y,"Monday- Sep 04, 2017"
PAST SALE,September-8-2017,propertytype:Townhouse,USD590000,3,2.5,1620,2717,1953,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/4928-Sargent-Rd-NE-20017/home/10089665,MRIS,DC9977580,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-5-2017,propertytype:Townhouse,USD853000,3,2.0,1990,1473,1912,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/1004-Monroe-St-NW-20010/home/10028187,MRIS,DC9994456,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-22-2017,propertytype:Townhouse,USD799000,3,1.5,2133,2385,1926,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/4114-Jenifer-St-NW-20015/home/9961420,MRIS,DC9984215,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-18-2017,propertytype:Townhouse,USD545000,3,2.5,1702,2178,2014,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/3642-Wright-Ter-20018/home/96361032,MRIS,DC10023567,N,Y,"Monday- Sep 04, 2017"
PAST SALE,September-29-2017,propertytype:Single Family Residential,USD281500,3,1.5,992,1620,1948,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/3100-24th-St-SE-20020/home/10160501,MRIS,DC10034423,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-14-2017,propertytype:Townhouse,USD325000,3,3.0,1710,3072,2006,68,Sold,NA,NA,http://www.redfin.com/DC/Washington/1853-Bruce-Pl-SE-20020/home/11745598,MRIS,DC10003241,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,September-14-2017,propertytype:Single Family Residential,USD519900,3,3.0,2025,4391,1949,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/1608-Crittenden-St-NE-20017/home/10100721,MRIS,DC10028194,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD154800,3,2.0,1190,NA,1945,NA,,NA,NA,http://www.redfin.com/DC/Washington/5031-Just-St-NE-20019/home/10126701,,,N,Y,NA
PAST SALE,September-8-2017,propertytype:Single Family Residential,USD565000,4,3.0,1282,7468,1937,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/3049-Clinton-St-NE-20018/home/10106418,MRIS,DC9966360,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,,propertytype:Single Family Residential,USD182610,3,1.0,960,1924,1945,NA,,NA,NA,http://www.redfin.com/DC/Washington/4312-Polk-St-NE-20019/home/10121737,,,N,Y,NA
PAST SALE,,propertytype:Townhouse,USD527000,3,1.0,1260,1620,1939,NA,,NA,NA,http://www.redfin.com/DC/Washington/525-21st-St-NE-20002/home/10112705,,,N,Y,NA
PAST SALE,,propertytype:Condo/Co-op,USD70150,3,1.5,1024,NA,1942,NA,,NA,NA,http://www.redfin.com/DC/Washington/3904-Q-St-SE-20020/home/10138501,,,N,Y,NA
PAST SALE,September-7-2017,propertytype:Townhouse,USD240000,3,1.0,996,1742,1945,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/5402-Blaine-St-NE-20019/home/10131131,MRIS,DC9950752,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,,propertytype:Condo/Co-op,USD450000,3,2.0,1628,NA,1977,NA,,NA,NA,http://www.redfin.com/DC/Washington/1633-11th-Pl-NE-20002/home/10094825,,,N,Y,NA
PAST SALE,September-5-2017,propertytype:Townhouse,USD970000,3,3.5,2376,2378,1913,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/1226-Maryland-Ave-NE-20002/home/9910154,MRIS,DC9985157,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-8-2017,propertytype:Townhouse,USD250000,3,2.5,1920,NA,1978,245,Sold,NA,NA,http://www.redfin.com/DC/Washington/3109-Apple-Rd-NE-20018/unit-1/home/10107471,MRIS,DC10003621,N,Y,"Tuesday- Aug 15, 2017"
PAST SALE,September-13-2017,propertytype:Multi-Family (2-4 Unit),USD330000,4,4.0,2720,2856,1938,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/1736-S-St-SE-20020/unit-3/home/10149780,MRIS,DC10056195,N,Y,"Friday- Aug 25, 2017"
PAST SALE,September-13-2017,propertytype:Townhouse,USD560000,3,1.5,1408,NA,1926,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/1633-A-St-NE-20002/home/9919946,MRIS,DC9747056,N,Y,"Friday- Aug 25, 2017"
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD625000,3,3.0,1443,5790,1956,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/4124-20th-St-NE-20018/home/10101287,MRIS,DC10000940,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-11-2017,propertytype:Multi-Family (2-4 Unit),USD565501,NA,NA,3400,3571,1942,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/3301-D-St-SE-20019/home/10142337,MRIS,DC10018707,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-11-2017,propertytype:Townhouse,USD559900,3,3.5,1349,1347,1927,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/3619-18th-St-NE-20018/home/10101892,MRIS,DC10028075,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-5-2017,propertytype:Single Family Residential,USD399000,4,2.0,1204,4938,1922,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/4247-Eads-St-NE-20019/home/10120567,MRIS,DC9946340,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-7-2017,propertytype:Townhouse,USD298600,3,2.0,1024,2341,1947,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/15-40th-St-NE-20019/home/10120006,MRIS,DC10019162,N,Y,"Sunday- Aug 13, 2017"
PAST SALE,September-6-2017,propertytype:Townhouse,USD236000,3,1.5,1584,5850,1900,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/3233-Ely-Pl-SE-20019/home/10142450,MRIS,DC10032245,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-11-2017,propertytype:Single Family Residential,USD775000,4,3.5,1348,5875,1961,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/4213-19th-Pl-NE-20018/home/10101314,MRIS,DC10014341,N,Y,"Monday- Aug 21, 2017"
PAST SALE,September-13-2017,propertytype:Townhouse,USD315000,3,2.0,1264,3996,1946,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/823-Yuma-St-SE-20032/home/10168602,MRIS,DC9903585,N,Y,"Friday- Aug 25, 2017"
PAST SALE,September-8-2017,propertytype:Townhouse,USD349990,3,2.5,1122,2475,1952,NA,Sold,NA,NA,http://www.redfin.com/DC/Washington/791-Barnaby-St-SE-20032/home/10170011,MRIS,DC10029253,N,Y,"Tuesday- Aug 15, 2017"
