SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-29-2017,propertytype:Townhouse,USD460000,3,3.0,2880,3003,2007,87,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1621-Whitehall-Dr-20904/home/35615526,MRIS,MC9946471,N,Y,"Tuesday- Sep 26, 2017"
PAST SALE,September-26-2017,propertytype:Single Family Residential,USD630000,3,2.5,1244,5550,1936,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/614-Pershing-Dr-20910/home/10951175,MRIS,MC10044582,N,Y,"Wednesday- Sep 20, 2017"
PAST SALE,September-12-2017,propertytype:Single Family Residential,USD419500,4,1.5,1440,7500,1957,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/1127-Caddington-Ave-20901/home/11056358,MRIS,MC9978603,N,Y,"Wednesday- Aug 23, 2017"
PAST SALE,September-21-2017,propertytype:Townhouse,USD460000,3,3.0,1960,1240,2011,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2146-Little-Sorrel-Way-20902/home/44617532,MRIS,MC9902691,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,September-25-2017,propertytype:Single Family Residential,USD368000,4,2.5,2652,6969,1918,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10709-Torrance-Dr-20902/home/11010902,MRIS,MC10019639,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-25-2017,propertytype:Single Family Residential,USD416000,3,2.0,1428,6983,1947,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2419-Churchill-Rd-20902/home/10990735,MRIS,MC9990186,N,Y,"Monday- Sep 18, 2017"
PAST SALE,September-14-2017,propertytype:Single Family Residential,USD417000,4,2.0,1760,8628,1950,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/2417-Evans-Dr-20902/home/10982440,MRIS,MC10026468,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,September-22-2017,propertytype:Single Family Residential,USD466500,4,3.0,1860,9365,1938,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10420-Eastwood-Ave-20901/home/10965878,MRIS,MC10038474,N,Y,"Tuesday- Sep 12, 2017"
PAST SALE,September-21-2017,propertytype:Single Family Residential,USD435000,3,3.0,1950,5300,1950,NA,Sold,NA,NA,http://www.redfin.com/MD/Silver-Spring/10603-Huntley-Pl-20902/home/11017683,MRIS,MC9793170,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,,propertytype:Single Family Residential,USD547000,NA,1.5,1296,6200,1940,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/302-Normandy-Dr-20901/home/10961208,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD620000,NA,2.0,1296,9978,1959,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/4018-Ingersol-Dr-20902/home/11028719,,,N,Y,NA
PAST SALE,,propertytype:Single Family Residential,USD425000,NA,1.0,1040,6236,1940,NA,,NA,NA,http://www.redfin.com/MD/Silver-Spring/317-Saint-Lawrence-Dr-20901/home/11015526,,,N,Y,NA
