"date","close","volume"
"January 08, 2018",174.35,20523870
"January 05, 2018",175,23589930
"January 04, 2018",173.03,22342650
"January 03, 2018",172.23,29461040
"January 02, 2018",172.26,25400540
"December 29, 2017",169.23,25938760
"December 28, 2017",171.08,16412270
"December 27, 2017",170.6,21477380
"December 26, 2017",170.57,33113340
"December 22, 2017",175.01,16339690
"December 21, 2017",175.01,20848660
"December 20, 2017",174.35,23451420
"December 19, 2017",174.54,27393660
"December 18, 2017",176.42,29385650
"December 15, 2017",173.97,40122100
"December 14, 2017",172.22,20442740
"December 13, 2017",172.27,23402510
"December 12, 2017",171.7,19088170
"December 11, 2017",172.67,34260890
"December 08, 2017",169.37,23285760
"December 07, 2017",169.32,25656110
"December 06, 2017",169.01,28397810
"December 05, 2017",169.64,27315530
"December 04, 2017",169.8,32512580
"December 01, 2017",171.05,39735110
"November 30, 2017",171.85,41484540
"November 29, 2017",169.48,41459120
"November 28, 2017",173.07,26387240
"November 27, 2017",174.09,20591090
"November 24, 2017",174.97,14026670
"November 22, 2017",174.96,25558680
"November 21, 2017",173.14,25047130
"November 20, 2017",169.98,16041550
"November 17, 2017",170.15,21884010
"November 16, 2017",171.1,23598650
"November 15, 2017",169.08,28998220
"November 14, 2017",171.34,24683350
"November 13, 2017",173.97,16956290
"November 10, 2017",174.67,25129510
"November 09, 2017",175.88,29422610
"November 08, 2017",176.24,24358920
"November 07, 2017",174.81,24332120
"November 06, 2017",174.25,34770480
"November 03, 2017",172.5,59332210
"November 02, 2017",168.11,39668100
"November 01, 2017",166.89,33482970
"October 31, 2017",169.04,35779520
"October 30, 2017",166.72,44651420
"October 27, 2017",163.05,44387770
"October 26, 2017",157.41,16916650
"October 25, 2017",156.41,21175670
"October 24, 2017",157.1,17633730
"October 23, 2017",156.17,21888930
"October 20, 2017",156.25,23907540
"October 19, 2017",155.98,42357420
"October 18, 2017",159.76,16252850
"October 17, 2017",160.47,18969700
"October 16, 2017",159.88,24093300
"October 13, 2017",156.99,16367780
"October 12, 2017",156,16380570
"October 11, 2017",156.55,16861450
"October 10, 2017",155.9,15603520
"October 09, 2017",155.84,16243080
"October 06, 2017",155.3,17223790
"October 05, 2017",155.39,21215870
"October 04, 2017",153.48,20088940
"October 03, 2017",154.48,16216800
"October 02, 2017",153.81,18631540
"September 29, 2017",154.12,26204670
"September 28, 2017",153.28,21983410
"September 27, 2017",154.23,25402270
"September 26, 2017",153.14,35907770
"September 25, 2017",150.55,44366140
"September 22, 2017",151.89,46575410
"September 21, 2017",153.39,37350060
"September 20, 2017",156.07,52126240
"September 19, 2017",158.73,20565620
"September 18, 2017",158.67,28157630
"September 15, 2017",159.88,48846060
"September 14, 2017",158.28,23637310
"September 13, 2017",159.65,44866280
"September 12, 2017",160.86,71574560
"September 11, 2017",161.5,31506890
"September 08, 2017",158.63,28411740
"September 07, 2017",161.26,21905160
"September 06, 2017",161.91,21610300
"September 05, 2017",162.08,29491910
"September 01, 2017",164.05,16564340
"August 31, 2017",164,26729940
"August 30, 2017",163.35,27215770
"August 29, 2017",162.91,29451050
"August 28, 2017",161.47,25649890
"August 25, 2017",159.86,25184600
"August 24, 2017",159.27,19782170
"August 23, 2017",159.98,19376940
"August 22, 2017",159.78,21564890
"August 21, 2017",157.21,26330070
"August 18, 2017",157.5,27391950
"August 17, 2017",157.86,27377960
"August 16, 2017",160.95,27607370
"August 15, 2017",161.6,29377630
"August 14, 2017",159.85,22074760
"August 11, 2017",157.48,26208970
"August 10, 2017",155.32,39636190
"August 09, 2017",161.06,26060430
"August 08, 2017",160.08,36127490
"August 07, 2017",158.81,21827400
"August 04, 2017",156.39,20514810
"August 03, 2017",155.57,26604140
"August 02, 2017",157.14,69726440
"August 01, 2017",150.05,33669020
"July 31, 2017",148.73,19690420
"July 28, 2017",149.5,17192770
"July 27, 2017",150.56,32429770
"July 26, 2017",153.46,15649120
"July 25, 2017",152.74,18798250
"July 24, 2017",152.09,21466370
"July 21, 2017",150.27,25111310
"July 20, 2017",150.34,17170490
"July 19, 2017",151.02,20859830
"July 18, 2017",150.08,17837130
"July 17, 2017",149.56,23765710
"July 14, 2017",149.04,20117070
"July 13, 2017",147.77,25080500
"July 12, 2017",145.74,24833800
"July 11, 2017",145.53,18647220
"July 10, 2017",145.06,21080580
"July 07, 2017",144.18,18527000
"July 06, 2017",142.73,24110330
"July 05, 2017",144.09,21550270
"July 03, 2017",143.5,14277850
"June 30, 2017",144.02,22986960
"June 29, 2017",143.68,31450520
"June 28, 2017",145.83,22052920
"June 27, 2017",143.73,24725210
"June 26, 2017",145.82,25674500
"June 23, 2017",146.28,35421310
"June 22, 2017",145.63,19082170
"June 21, 2017",145.87,21247590
"June 20, 2017",145.01,24877950
"June 19, 2017",146.34,32203640
"June 16, 2017",142.27,50264540
"June 15, 2017",144.29,31642900
"June 14, 2017",145.16,31454590
"June 13, 2017",146.59,34089190
"June 12, 2017",145.42,72187710
"June 09, 2017",148.98,64782910
"June 08, 2017",154.99,21144040
"June 07, 2017",155.37,21017560
"June 06, 2017",154.45,26591850
"June 05, 2017",153.93,25277680
