date,close,volume,open,high,low
1/8/2018,81.27,2587288,81.33,81.33,81.21
1/5/2018,81.26,4257400,81.35,81.36,81.2
1/4/2018,81.37,2152595,81.33,81.37,81.25
1/3/2018,81.41,2216727,81.43,81.43,81.29
1/2/2018,81.34,3104377,81.45,81.5,81.22
12/29/2017,81.57,2531675,81.5,81.57,81.46
12/28/2017,81.44,2234676,81.46,81.47,81.38
12/27/2017,81.49,1707993,81.33,81.52,81.24
12/26/2017,81.24,1696414,81.23,81.28,81.165
12/22/2017,81.37,2566698,81.34,81.4,81.32
12/21/2017,81.33,3103438,81.31,81.38,81.27
12/20/2017,81.28,2325475,81.28,81.37,81.2514
12/19/2017,81.44,3307727,81.57,81.57,81.36
12/18/2017,81.69,1946947,81.79,81.79,81.6505
12/15/2017,81.82,2781808,81.76,81.83,81.67
12/14/2017,81.81,1998817,81.67,81.82,81.6228
12/13/2017,81.78,2095382,81.62,81.85,81.56
12/12/2017,81.55,2962750,81.54,81.55,81.46
12/11/2017,81.56,1781132,81.66,81.7,81.54
12/8/2017,81.62,1368343,81.67,81.68,81.57
12/7/2017,81.65,1640998,81.76,81.8,81.57
12/6/2017,81.76,1509267,81.81,81.85,81.74
12/5/2017,81.67,1763934,81.55,81.68,81.5103
12/4/2017,81.57,1834040,81.51,81.58,81.46
12/1/2017,81.56,2384820,81.5,81.81,81.35
11/30/2017,81.51,3044194,81.66,81.68,81.455
11/29/2017,81.63,1837386,81.65,81.69,81.6
11/28/2017,81.83,1846965,81.9,81.95,81.83
11/27/2017,81.83,1516967,81.87,81.89,81.785
11/24/2017,81.86,837041,81.84,81.88,81.81
11/22/2017,81.88,1631954,81.73,81.89,81.715
11/21/2017,81.71,1925811,81.73,81.79,81.613
11/20/2017,81.64,1528330,81.65,81.6975,81.6
11/17/2017,81.69,2257723,81.69,81.74,81.65
11/16/2017,81.61,1637035,81.63,81.69,81.57
11/15/2017,81.72,2859359,81.64,81.73,81.55
11/14/2017,81.53,1659491,81.47,81.53,81.44
11/13/2017,81.43,1698597,81.54,81.55,81.42
11/10/2017,81.42,1724449,81.53,81.55,81.42
11/9/2017,81.75,2115752,81.75,81.7866,81.671
11/8/2017,81.83,2312749,81.86,81.9,81.8
11/7/2017,81.89,2450779,81.81,81.89,81.8
11/6/2017,81.86,1336668,81.86,81.89,81.8
11/3/2017,81.8,1370466,81.77,81.8,81.65
11/2/2017,81.73,2373161,81.73,81.8,81.69
11/1/2017,81.65,1595958,81.59,81.72,81.52
10/31/2017,81.77,1977116,81.84,81.85,81.77
10/30/2017,81.82,1542578,81.75,81.84,81.71
10/27/2017,81.63,1734395,81.52,81.63,81.479
10/26/2017,81.45,1915877,81.59,81.6,81.43
10/25/2017,81.55,1576748,81.51,81.56,81.46
10/24/2017,81.62,2287333,81.63,81.68,81.59
10/23/2017,81.76,2649689,81.73,81.815,81.73
10/20/2017,81.69,1935818,81.74,81.75,81.64
10/19/2017,81.89,1515840,81.91,82.0062,81.85
10/18/2017,81.85,1522919,81.82,81.86,81.79
10/17/2017,81.98,1381405,81.9,81.9973,81.89
10/16/2017,81.97,1471396,82,82.02,81.91
10/13/2017,82.05,1772779,82.01,82.06,81.93
10/12/2017,81.88,1722865,81.86,81.89,81.77
10/11/2017,81.81,1249547,81.78,81.83,81.76
10/10/2017,81.77,4719528,81.75,81.89,81.72
10/9/2017,81.73,987767,81.66,81.74,81.65
10/6/2017,81.65,1860046,81.59,81.72,81.521
10/5/2017,81.74,2859777,81.82,81.82,81.683
10/4/2017,81.8,2616740,81.87,81.88,81.74
10/3/2017,81.8,2752063,81.72,81.82,81.71
10/2/2017,81.76,3642588,81.75,81.8,81.69
9/29/2017,81.96,3001239,81.95,81.97,81.835
9/28/2017,81.95,1198603,81.85,81.95,81.795
9/27/2017,81.93,1511907,81.92,81.98,81.86
9/26/2017,82.18,1446459,82.17,82.18,82.09
9/25/2017,82.22,2626512,82.07,82.2281,82.05
9/22/2017,82.04,1394139,82.11,82.12,82.01
9/21/2017,81.96,1168169,82.01,82.0866,81.94
9/20/2017,81.98,1672452,82.13,82.1391,81.89
9/19/2017,82.05,1219958,82.11,82.14,82.045
9/18/2017,82.11,1756568,82.12,82.14,82.04
9/15/2017,82.17,1536015,82.2,82.25,82.11
9/14/2017,82.16,1325174,82.08,82.18,82.08
9/13/2017,82.11,1594086,82.19,82.21,82.1
9/12/2017,82.21,1603559,82.26,82.32,82.15
9/11/2017,82.33,1423142,82.42,82.47,82.3
9/8/2017,82.58,2702173,82.67,82.67,82.55
9/7/2017,82.67,1899138,82.53,82.71,82.51
9/6/2017,82.41,1586504,82.58,82.62,82.395
9/5/2017,82.55,2008432,82.45,82.59,82.38
9/1/2017,82.21,1471241,82.31,82.33,82.148
8/31/2017,82.52,1696684,82.48,82.56,82.45
8/30/2017,82.45,1150673,82.44,82.46,82.39
8/29/2017,82.46,2054269,82.52,82.58,82.3901
8/28/2017,82.37,1407359,82.33,82.39,82.2801
8/25/2017,82.33,1453084,82.24,82.35,82.21
8/24/2017,82.23,1540247,82.23,82.32,82.21
8/23/2017,82.35,1237774,82.23,82.35,82.2
