date,close,volume,open,high,low
1/12/2018,38.39,5087263,38.33,38.59,38.01
1/11/2018,38.41,7431905,38.22,38.74,38.05
1/10/2018,37.95,4914842,38.02,38.3352,37.82
1/9/2018,38.16,7663347,38.55,38.67,37.74
1/8/2018,38.6,10782360,38.28,38.87,38.23
1/5/2018,38.19,7142138,38.72,38.83,38.065
1/4/2018,38.51,4729444,38.97,39.14,38.49
1/3/2018,39.06,4814680,39.37,39.88,38.77
1/2/2018,39.59,5153123,39.54,39.69,39.26
12/29/2017,39.41,3118349,39.44,39.5,39.25
12/28/2017,39.3,3743249,38.93,39.325,38.93
12/27/2017,38.99,5023533,38.97,39.02,38.77
12/26/2017,38.81,2040908,39.12,39.23,38.78
12/22/2017,39.01,3529679,39.19,39.22,38.97
12/21/2017,39.07,4014729,38.87,39.36,38.76
12/20/2017,39.04,6077680,39.58,39.72,38.97
12/19/2017,39.62,4473218,40.58,40.74,39.61
12/18/2017,40.48,4976652,40.89,41.08,40.39
12/15/2017,40.74,9017425,40.86,41.015,40.68
12/14/2017,40.81,4694123,40.98,41.26,40.61
12/13/2017,41.13,8154933,41,41.49,40.86
12/12/2017,41.01,7944133,41.78,41.89,40.96
12/11/2017,41.92,8261809,41.09,41.95,41.09
12/8/2017,41.05,7949988,40.62,41.07,40.37
12/7/2017,40.81,6814267,41.14,41.17,39.55
12/6/2017,41.12,5383395,41.48,41.65,40.781
12/5/2017,41.25,6139683,41.58,41.71,40.95
12/4/2017,41.56,4939273,41.89,42,41.42
12/1/2017,41.83,5817724,41.89,42.09,41.26
11/30/2017,41.71,6576969,41.75,41.96,41.431
11/29/2017,41.69,4487208,41.83,41.9086,41.485
11/28/2017,41.96,3857257,41.78,42.11,41.74
11/27/2017,41.65,4099232,41.7,41.82,41.46
11/24/2017,41.63,1432571,41.5,41.745,41.47
11/22/2017,41.5,3058883,41.44,41.55,41.21
11/21/2017,41.39,2968881,41.46,41.665,41.34
11/20/2017,41.35,3792549,41.32,41.64,41.21
11/17/2017,41.26,4821277,41.19,41.36,41.06
11/16/2017,41.24,6972103,41.6,41.65,41.11
11/15/2017,41.77,5755759,42.46,42.67,41.68
11/14/2017,42.39,5277986,41.75,42.455,41.59
11/13/2017,42.09,5310225,41.38,42.18,41.3
11/10/2017,41.3,3881589,40.86,41.43,40.86
11/9/2017,41.14,3580308,41.21,41.54,41.03
11/8/2017,41.32,3815502,41.29,41.47,40.84
11/7/2017,41.27,4183768,40.73,41.49,40.66
11/6/2017,40.69,3895554,40.97,41.14,40.62
11/3/2017,40.94,5709327,40.75,41.56,40.56
11/2/2017,40.72,7794392,40.1,40.81,39.47
11/1/2017,40.15,5208635,40.32,40.36,39.98
10/31/2017,40.21,3676272,40.22,40.38,40.1
10/30/2017,40.24,4885574,40.07,40.27,39.94
10/27/2017,40.25,2783561,39.81,40.325,39.74
10/26/2017,39.88,3993835,40.25,40.34,39.87
10/25/2017,40.07,5144095,39.87,40.18,39.31
10/24/2017,39.96,3790121,39.74,40,39.6
10/23/2017,39.74,3653023,39.59,39.82,39.385
10/20/2017,39.58,4235605,39.75,39.81,39.34
10/19/2017,39.77,4675676,39.6,39.88,39.44
10/18/2017,39.62,2726499,39.58,39.68,39.35
10/17/2017,39.6,4238792,39.56,39.72,39.22
10/16/2017,39.67,8555700,39.15,39.74,38.98
10/13/2017,39.24,6376659,39,39.43,38.92
10/12/2017,38.94,4784203,38.4,38.95,38.25
10/11/2017,38.46,4909203,37.93,38.5,37.93
10/10/2017,38.3,2403374,38.17,38.41,38.01
10/9/2017,38.04,2484584,38.16,38.32,37.975
10/6/2017,38.15,4121808,38.12,38.25,37.93
10/5/2017,38.35,5434521,38.2,38.385,37.99
10/4/2017,38.19,4971860,37.85,38.21,37.69
10/3/2017,37.84,5183082,38.12,38.14,37.55
10/2/2017,38.14,8714505,37.81,38.39,37.65
9/29/2017,37.67,6881237,37.48,37.96,37.44
9/28/2017,37.4,4253414,37,37.61,36.83
9/27/2017,37.15,5719493,37,37.285,36.88
9/26/2017,37.17,3968296,37.52,37.52,37.155
9/25/2017,37.6,4546787,37.14,37.66,37.02
9/22/2017,37.12,3383822,37.25,37.32,36.93
9/21/2017,37.15,3446887,36.9,37.41,36.86
9/20/2017,36.91,7924549,37.38,37.38,36.63
9/19/2017,37.28,5360586,37.4,37.55,37.03
9/18/2017,37.4,6806924,37.59,37.87,37.08
9/15/2017,37.61,15250730,38.12,38.4,37.49
9/14/2017,38.1,3907454,37.69,38.14,37.59
9/13/2017,37.8,5369144,37.91,38.12,37.78
9/12/2017,37.88,4714890,38.35,38.45,37.54
9/11/2017,38.47,3289240,38.14,38.5,38.04
9/8/2017,38.17,4466711,37.97,38.29,37.901
9/7/2017,38.03,4234451,37.65,38.1,37.575
9/6/2017,37.55,5036457,37.76,37.82,37.48
9/5/2017,37.6,6423655,37.59,37.68,37.44
9/1/2017,37.54,5859222,37.95,37.96,37.42
8/31/2017,37.87,6435502,38,38.14,37.82
8/30/2017,37.84,4002276,38.22,38.22,37.795
8/29/2017,38.22,2429776,38.29,38.44,38.155
8/28/2017,38.27,3883171,38.37,38.42,37.98
8/25/2017,38.3,3193260,38.49,38.59,38.29
