"date","close","volume"
"Jan-08-2018",13.15,33230680
"Jan-05-2018",13.2,46121120
"Jan-04-2018",12.98,37473130
"Jan-03-2018",12.76,29764150
"Jan-02-2018",12.66,20761970
"Dec-29-2017",12.49,18334110
"Dec-28-2017",12.58,14715230
"Dec-27-2017",12.5,16998030
"Dec-26-2017",12.6,11425540
"Dec-22-2017",12.58,17872090
"Dec-21-2017",12.63,20967490
"Dec-20-2017",12.72,18984770
"Dec-19-2017",12.69,22365420
"Dec-18-2017",12.66,25019630
"Dec-15-2017",12.58,48643670
"Dec-14-2017",12.46,36675920
"Dec-13-2017",12.63,31855330
"Dec-12-2017",12.6,53186550
"Dec-11-2017",12.58,42643720
"Dec-08-2017",12.61,21377590
"Dec-07-2017",12.53,25409630
"Dec-06-2017",12.38,26868620
"Dec-05-2017",12.43,45467200
"Dec-04-2017",12.63,39426620
"Dec-01-2017",12.58,52444220
"Nov-30-2017",12.52,47030590
"Nov-29-2017",12.56,64782030
"Nov-28-2017",12.21,33194270
"Nov-27-2017",12.11,28520160
"Nov-24-2017",12.1,9549629
"Nov-22-2017",12.07,36179180
"Nov-21-2017",12.12,28448460
"Nov-20-2017",12.13,32289180
"Nov-17-2017",12.01,31095460
"Nov-16-2017",12.04,28239950
"Nov-15-2017",12,28368910
"Nov-14-2017",12.02,25874300
"Nov-13-2017",12.16,30414130
"Nov-10-2017",12.01,35287550
"Nov-09-2017",12.04,26247030
"Nov-08-2017",12.06,34118340
"Nov-07-2017",12.16,41526710
"Nov-06-2017",12.33,20173140
"Nov-03-2017",12.36,33180990
"Nov-02-2017",12.42,40920110
"Nov-01-2017",12.35,43445940
"Oct-31-2017",12.27,41975420
"Oct-30-2017",12.1,36399390
"Oct-27-2017",12.06,33904990
"Oct-26-2017",12.27,48940260
"Oct-25-2017",12.04,47638020
"Oct-24-2017",12.19,34124010
"Oct-23-2017",12.04,21479060
"Oct-20-2017",12.1,28166170
"Oct-19-2017",12.23,29641850
"Oct-18-2017",12.19,30695500
"Oct-17-2017",12.27,55210520
"Oct-16-2017",12.12,32344380
"Oct-13-2017",12.05,44569070
"Oct-12-2017",12.12,46120360
"Oct-11-2017",12.38,34723730
"Oct-10-2017",12.39,40580350
"Oct-09-2017",12.34,28921420
"Oct-06-2017",12.31,35021100
"Oct-05-2017",12.25,48135740
"Oct-04-2017",12.3,52849720
"Oct-03-2017",12.34,65603080
"Oct-02-2017",12.09,35996000
"Sep-29-2017",11.97,31175580
"Sep-28-2017",11.96,22665140
"Sep-27-2017",11.95,27811530
"Sep-26-2017",11.93,30627220
"Sep-25-2017",11.94,40762930
"Sep-22-2017",11.84,30193330
"Sep-21-2017",11.72,40262740
"Sep-20-2017",11.71,26234940
"Sep-19-2017",11.72,26315680
"Sep-18-2017",11.63,24903320
"Sep-15-2017",11.62,30400610
"Sep-14-2017",11.56,31616610
"Sep-13-2017",11.62,23185840
"Sep-12-2017",11.59,41324190
"Sep-11-2017",11.41,43312800
"Sep-08-2017",11.36,26561350
"Sep-07-2017",11.4,30260630
"Sep-06-2017",11.5,43267990
"Sep-05-2017",11.36,44137930
"Sep-01-2017",11.35,64383950
"Aug-31-2017",11.03,54073940
"Aug-30-2017",10.94,23527450
"Aug-29-2017",10.84,29769490
"Aug-28-2017",10.79,22233820
"Aug-25-2017",10.82,35784530
"Aug-24-2017",10.71,33553070
"Aug-23-2017",10.71,35397200
"Aug-22-2017",10.65,28614200
"Aug-21-2017",10.57,30110430
"Aug-18-2017",10.56,43987170
"Aug-17-2017",10.64,35244490
"Aug-16-2017",10.8,28284200
"Aug-15-2017",10.84,29219730
"Aug-14-2017",10.91,26393050
"Aug-11-2017",10.77,32297050
"Aug-10-2017",10.77,31861210
"Aug-09-2017",10.92,32137100
"Aug-08-2017",10.89,26086100
"Aug-07-2017",10.92,35010930
"Aug-04-2017",10.95,29258640
"Aug-03-2017",10.93,20298210
"Aug-02-2017",11,30864360
"Aug-01-2017",10.95,65067100
"Jul-31-2017",11.22,39537500
"Jul-28-2017",11.17,24531000
"Jul-27-2017",11.18,37982170
"Jul-26-2017",11.06,72186770
"Jul-25-2017",11.27,52793530
"Jul-24-2017",11.29,48097900
"Jul-21-2017",11.53,27623560
"Jul-20-2017",11.7,29913330
"Jul-19-2017",11.83,26207730
"Jul-18-2017",11.75,24622830
"Jul-17-2017",11.74,24381940
"Jul-14-2017",11.68,39790700
"Jul-13-2017",11.6,33635130
"Jul-12-2017",11.47,33084480
"Jul-11-2017",11.38,25909030
"Jul-10-2017",11.34,18869010
"Jul-07-2017",11.26,20521260
"Jul-06-2017",11.18,31932980
"Jul-05-2017",11.3,39399520
"Jul-03-2017",11.56,43949590
"Jun-30-2017",11.19,41068960
"Jun-29-2017",11.17,32913660
"Jun-28-2017",11.09,31813810
"Jun-27-2017",11.08,28475040
"Jun-26-2017",11.18,31312600
"Jun-23-2017",11.04,45188680
"Jun-22-2017",11.13,26966120
"Jun-21-2017",11.04,36991430
"Jun-20-2017",11.12,31860540
"Jun-19-2017",11.24,30510950
"Jun-16-2017",11.22,51459360
"Jun-15-2017",11.24,28426060
"Jun-14-2017",11.22,44359600
"Jun-13-2017",11.27,29887170
"Jun-12-2017",11.28,38471080
"Jun-09-2017",11.13,30273280
"Jun-08-2017",11.1,40688970
"Jun-07-2017",11.07,37341980
"Jun-06-2017",11.12,44538510
"Jun-05-2017",11.25,42495830
"Jun-02-2017",11.35,45919400
"Jun-01-2017",11.41,76684650
"May-31-2017",11.12,36448870
"May-30-2017",11.08,36035310
"May-26-2017",10.93,28163580
"May-25-2017",10.86,46214250
"May-24-2017",10.96,46686840
"May-23-2017",11.05,40802880
"May-22-2017",11.1,73197740
"May-19-2017",10.87,32358860
"May-18-2017",10.79,37845810
"May-17-2017",10.76,54630160
"May-16-2017",10.94,42091480
"May-15-2017",10.94,27303480
"May-12-2017",10.92,34257390
"May-11-2017",11.01,29233230
"May-10-2017",11.04,34978210
"May-09-2017",11.16,44132230
"May-08-2017",11.13,35445840
"May-05-2017",11.14,28853280
"May-04-2017",11,34552240
"May-03-2017",11.07,57273320
"May-02-2017",10.92,94400180
"May-01-2017",11.42,32109290
"Apr-28-2017",11.47,41412480
"Apr-27-2017",11.47,50133620
"Apr-26-2017",11.6,51676250
"Apr-25-2017",11.48,35855450
"Apr-24-2017",11.43,37983850
"Apr-21-2017",11.34,26014500
"Apr-20-2017",11.47,49977580
"Apr-19-2017",11.19,37511510
"Apr-18-2017",11.14,35649430
"Apr-17-2017",11.28,44137190
"Apr-13-2017",11.11,32709870
"Apr-12-2017",11.23,56548080
"Apr-11-2017",11.28,36334420
"Apr-10-2017",11.25,25847060
"Apr-07-2017",11.23,28851970
"Apr-06-2017",11.27,36157290
"Apr-05-2017",11.26,43249680
"Apr-04-2017",11.37,40055090
"Apr-03-2017",11.44,65607750
"Mar-31-2017",11.64,26650580
"Mar-30-2017",11.68,27989310
"Mar-29-2017",11.68,35780180
"Mar-28-2017",11.65,57614450
"Mar-27-2017",11.46,57679810
"Mar-24-2017",11.62,43738140
"Mar-23-2017",11.67,71159460
"Mar-22-2017",11.77,71049850
"Mar-21-2017",11.72,101452800
"Mar-20-2017",12.28,45316750
"Mar-17-2017",12.48,54902300
"Mar-16-2017",12.7,28864750
"Mar-15-2017",12.65,34188490
"Mar-14-2017",12.55,26937950
