date,close,volume
1/12/2018,4.05,23068620
1/11/2018,4.09,33754090
1/10/2018,3.97,17113180
1/9/2018,3.74,12659660
1/8/2018,3.71,17699590
1/5/2018,3.61,21606690
1/4/2018,3.69,45664530
1/3/2018,3.7,31025870
1/2/2018,3.5,48662060
12/29/2017,3.16,12351540
12/28/2017,3.29,8707074
12/27/2017,3.24,9733627
12/26/2017,3.31,24304560
12/22/2017,3.14,11151540
12/21/2017,3.03,9218220
12/20/2017,3.05,7838409
12/19/2017,3.04,16993560
12/18/2017,3.19,18725790
12/15/2017,3.09,20615530
12/14/2017,2.91,15296850
12/13/2017,3.02,15157290
12/12/2017,2.87,27708540
12/11/2017,3.2,8261458
12/8/2017,3.22,12653320
12/7/2017,3.27,14425730
12/6/2017,3.34,11434980
12/5/2017,3.3,12546700
12/4/2017,3.4,15735130
12/1/2017,3.36,21837380
11/30/2017,3.31,20887390
11/29/2017,3.54,21629270
11/28/2017,3.5,19990700
11/27/2017,3.35,18442070
11/24/2017,3.26,8854453
11/22/2017,3.24,13765540
11/21/2017,3.22,12199240
11/20/2017,3.33,14222530
11/17/2017,3.29,12215380
11/16/2017,3.16,12060150
11/15/2017,3.06,10549270
11/14/2017,2.98,13686910
11/13/2017,2.95,33090650
11/10/2017,3.17,54332020
11/9/2017,2.75,24610620
11/8/2017,2.51,12519800
11/7/2017,2.37,14464780
11/6/2017,2.53,21480990
11/3/2017,2.37,23596410
11/2/2017,2.55,31517760
11/1/2017,2.66,24716530
10/31/2017,2.8,10414410
10/30/2017,2.87,39250200
10/27/2017,3.12,93358860
10/26/2017,3.66,8788764
10/25/2017,3.69,9773811
10/24/2017,3.66,10518500
10/23/2017,3.75,16537190
10/20/2017,3.61,9988937
10/19/2017,3.49,8694411
10/18/2017,3.53,10502340
10/17/2017,3.44,11059930
10/16/2017,3.39,7660373
10/13/2017,3.41,10523740
10/12/2017,3.35,23012890
10/11/2017,3.48,12820930
10/10/2017,3.54,8848579
10/9/2017,3.55,11185050
10/6/2017,3.71,13524670
10/5/2017,3.59,11689250
10/4/2017,3.54,10818590
10/3/2017,3.59,20868660
10/2/2017,3.59,38518840
9/29/2017,3.81,12410460
9/28/2017,3.91,10778920
9/27/2017,3.99,11122100
9/26/2017,3.98,5752588
9/25/2017,3.93,11651280
9/22/2017,4.01,8212425
9/21/2017,3.91,7914123
9/20/2017,3.93,14521390
9/19/2017,3.97,13882600
9/18/2017,4.15,9303578
9/15/2017,4.21,15415710
9/14/2017,4.23,12317900
9/13/2017,4.28,12832320
9/12/2017,4.2,15673990
9/11/2017,4.06,7789719
9/8/2017,4.02,10851240
9/7/2017,4.12,11006420
9/6/2017,4.1,13931350
9/5/2017,3.87,9781458
9/1/2017,3.99,22103270
8/31/2017,3.87,9695638
8/30/2017,3.83,6213511
8/29/2017,3.84,9432619
8/28/2017,3.85,10563870
8/25/2017,3.85,15421200
8/24/2017,3.77,35930000
8/23/2017,3.74,13897650
8/22/2017,3.67,20260610
8/21/2017,3.57,17969040
8/18/2017,3.6,27037170
8/17/2017,3.58,17861580
8/16/2017,3.6,23172870
8/15/2017,3.68,39443570
8/14/2017,3.77,35813600
8/11/2017,3.93,116403900
8/10/2017,4.71,41449970
8/9/2017,5.16,21797640
8/8/2017,5.39,14688130
8/7/2017,5.39,22252060
8/4/2017,5.44,12722040
8/3/2017,5.43,8506185
8/2/2017,5.41,8759659
8/1/2017,5.54,9528753
7/31/2017,5.41,14494140
7/28/2017,5.56,15624450
7/27/2017,5.52,15408530
7/26/2017,5.38,9375985
7/25/2017,5.28,13815770
7/24/2017,5.09,8364080
7/21/2017,5.08,9038381
7/20/2017,5,11910900
7/19/2017,5.04,12457500
7/18/2017,4.92,14236020
7/17/2017,5.1,12675830
7/14/2017,4.94,9869827
7/13/2017,4.98,23269470
7/12/2017,4.62,7898618
7/11/2017,4.56,12085230
7/10/2017,4.48,14918230
7/7/2017,4.55,7578075
7/6/2017,4.53,12007770
7/5/2017,4.7,9988340
7/3/2017,4.76,7091438
6/30/2017,4.65,10732810
6/29/2017,4.64,16712000
6/28/2017,4.64,24484170
6/27/2017,4.82,30293390
6/26/2017,4.67,13271770
6/23/2017,4.56,37649540
6/22/2017,4.38,17302170
6/21/2017,4.33,21486640
6/20/2017,4.59,21613540
6/19/2017,4.84,13241370
6/16/2017,5.02,16575690
6/15/2017,4.84,11269760
6/14/2017,4.92,19732510
6/13/2017,4.77,12797570
6/12/2017,4.86,21584460
6/9/2017,4.87,16454990
6/8/2017,4.56,16206990
6/7/2017,4.79,7708306
6/6/2017,4.72,19707080
6/5/2017,4.92,13988880
6/2/2017,4.89,11882910
6/1/2017,4.83,71589370
5/31/2017,4.7,12204460
5/30/2017,4.71,10962410
5/26/2017,4.71,11284600
5/25/2017,4.66,16345580
5/24/2017,4.65,9962239
5/23/2017,4.62,8544222
5/22/2017,4.64,10640470
5/19/2017,4.56,16415450
5/18/2017,4.49,18365180
5/17/2017,4.67,30130030
5/16/2017,4.6,31233920
5/15/2017,4.34,43054640
5/12/2017,4.55,87275410
5/11/2017,5.29,47847040
5/10/2017,5.71,12393650
5/9/2017,5.56,13355680
5/8/2017,5.47,15674090
5/5/2017,5.49,8977820
5/4/2017,5.38,12513450
5/3/2017,5.49,11604210
5/2/2017,5.44,13579700
5/1/2017,5.35,10859530
4/28/2017,5.38,23840990
4/27/2017,5.45,16130560
4/26/2017,5.52,15741380
4/25/2017,5.47,23987710
4/24/2017,5.62,14517780
4/21/2017,5.58,16387770
4/20/2017,5.73,22658550
4/19/2017,5.57,21598550
4/18/2017,5.72,14398950
4/17/2017,5.69,18704080
4/13/2017,5.91,20031530
4/12/2017,6.02,8543177
4/11/2017,6.11,9525968
4/10/2017,6.03,13566340
4/7/2017,5.82,19862790
4/6/2017,5.95,23361880
4/5/2017,5.68,25094250
4/4/2017,5.61,41767800
4/3/2017,6.02,12973300
3/31/2017,6.16,13050740
3/30/2017,6.15,23255230
3/29/2017,6.1,34834380
3/28/2017,5.79,14475990
3/27/2017,5.59,15158060
3/24/2017,5.57,10140000
3/23/2017,5.5,11630340
3/22/2017,5.59,13673840
3/21/2017,5.63,20854080
3/20/2017,5.85,17551510
3/17/2017,5.99,14481610
3/16/2017,6.16,12327930
3/15/2017,6.06,12568830
3/14/2017,6.01,17692590
3/13/2017,5.99,22416480
3/10/2017,6.36,14648470
3/9/2017,6.3,17169250
3/8/2017,6.24,18194070
3/7/2017,6.02,17528730
3/6/2017,5.96,25590040
3/3/2017,6.26,14483720
3/2/2017,6.36,15626060
3/1/2017,6.24,25333310
2/28/2017,6.34,23580440
2/27/2017,6.64,34321870
2/24/2017,6.46,69715260
2/23/2017,6.86,26197970
2/22/2017,7.05,11374210
