date,close,volume
"Mon, January 08, 2018",108.5,12466000
"Fri, January 05, 2018",108.34,14144400
"Thu, January 04, 2018",109.04,12951630
"Wed, January 03, 2018",108.06,11895160
"Tue, January 02, 2018",107.95,13571680
"Fri, December 29, 2017",106.94,8908518
"Thu, December 28, 2017",107.79,7435961
"Wed, December 27, 2017",107.22,9492739
"Tue, December 26, 2017",107.02,7399606
"Fri, December 22, 2017",107.45,14568030
"Thu, December 21, 2017",107.83,12321880
"Wed, December 20, 2017",106.14,13083590
"Tue, December 19, 2017",106.51,12146210
"Mon, December 18, 2017",106.96,12698440
"Fri, December 15, 2017",106.14,29348390
"Thu, December 14, 2017",104.66,13030710
"Wed, December 13, 2017",105.51,15016890
"Tue, December 12, 2017",106.85,15491780
"Mon, December 11, 2017",105.62,10587320
"Fri, December 08, 2017",105.93,13501810
"Thu, December 07, 2017",104.62,13370270
"Wed, December 06, 2017",104.93,15329540
"Tue, December 05, 2017",105.72,17185270
"Mon, December 04, 2017",106.95,23563600
"Fri, December 01, 2017",104.79,19678760
"Thu, November 30, 2017",104.52,23931080
"Wed, November 29, 2017",103.73,21066830
"Tue, November 28, 2017",101.36,16758450
"Mon, November 27, 2017",97.93,13070120
"Fri, November 24, 2017",98.32,3680043
"Wed, November 22, 2017",98.64,7341754
"Tue, November 21, 2017",98.93,13383660
"Mon, November 20, 2017",99.01,9476149
"Fri, November 17, 2017",98.14,9005339
"Thu, November 16, 2017",98.47,9777011
"Wed, November 15, 2017",98.19,15367530
"Tue, November 14, 2017",97.27,11040270
"Mon, November 13, 2017",97.86,9295198
"Fri, November 10, 2017",97.51,9312305
"Thu, November 09, 2017",97.63,13692330
"Wed, November 08, 2017",97.64,18517300
"Tue, November 07, 2017",98.75,18807990
"Mon, November 06, 2017",100.78,8115897
"Fri, November 03, 2017",101.41,7101445
"Thu, November 02, 2017",101.59,8723237
"Wed, November 01, 2017",100.92,8413360
"Tue, October 31, 2017",100.61,8667049
"Mon, October 30, 2017",101.41,8838731
"Fri, October 27, 2017",101.77,10399390
"Thu, October 26, 2017",101.74,13050550
"Wed, October 25, 2017",101.02,14631320
"Tue, October 24, 2017",100.92,12906300
"Mon, October 23, 2017",99.34,9228003
"Fri, October 20, 2017",99.51,15295510
"Thu, October 19, 2017",98.11,9133800
"Wed, October 18, 2017",97.99,10149270
"Tue, October 17, 2017",97.62,10334910
"Mon, October 16, 2017",97.84,12428820
"Fri, October 13, 2017",95.86,13183300
"Thu, October 12, 2017",95.99,18423690
"Wed, October 11, 2017",96.84,14264090
"Tue, October 10, 2017",97.13,10623290
"Mon, October 09, 2017",96.41,7760096
"Fri, October 06, 2017",96.92,10213870
"Thu, October 05, 2017",97.09,14232040
"Wed, October 04, 2017",96.36,12159660
"Tue, October 03, 2017",97.35,9626282
"Mon, October 02, 2017",96.84,13761670
"Fri, September 29, 2017",95.51,11385400
"Thu, September 28, 2017",95.38,10270370
"Wed, September 27, 2017",95.18,14997730
"Tue, September 26, 2017",93.7,9346632
"Mon, September 25, 2017",94.12,10456630
"Fri, September 22, 2017",94.83,8350317
"Thu, September 21, 2017",95.03,10843190
"Wed, September 20, 2017",94.6,15307370
"Tue, September 19, 2017",93.94,12621780
"Mon, September 18, 2017",92.92,11317260
"Fri, September 15, 2017",91.62,18159180
"Thu, September 14, 2017",90.97,10552610
"Wed, September 13, 2017",91.15,12475660
"Tue, September 12, 2017",90.89,13995240
"Mon, September 11, 2017",89.79,13215440
"Fri, September 08, 2017",88.42,14232050
"Thu, September 07, 2017",88.53,14591010
"Wed, September 06, 2017",90.11,11774220
"Tue, September 05, 2017",89.51,17014020
"Fri, September 01, 2017",91.7,9814834
"Thu, August 31, 2017",90.89,13215110
"Wed, August 30, 2017",91.31,9159627
"Tue, August 29, 2017",91.1,10872900
"Mon, August 28, 2017",91.6,7244324
"Fri, August 25, 2017",91.89,11776770
"Thu, August 24, 2017",91.52,8623165
"Wed, August 23, 2017",91.67,8802146
"Tue, August 22, 2017",91.56,9192696
"Mon, August 21, 2017",90.63,10824350
"Fri, August 18, 2017",90.74,12936300
"Thu, August 17, 2017",90.65,13524300
"Wed, August 16, 2017",92.09,11073020
"Tue, August 15, 2017",92.73,8812462
"Mon, August 14, 2017",92.49,10985030
"Fri, August 11, 2017",91.42,10664840
"Thu, August 10, 2017",92.19,13189350
"Wed, August 09, 2017",93.53,11203530
"Tue, August 08, 2017",93.68,13742970
"Mon, August 07, 2017",94.02,7971792
"Fri, August 04, 2017",93.66,14314130
"Thu, August 03, 2017",92.5,11072450
"Wed, August 02, 2017",93.11,10156790
"Tue, August 01, 2017",93.03,12467650
"Mon, July 31, 2017",91.8,11513330
"Fri, July 28, 2017",91.28,9351715
"Thu, July 27, 2017",91.55,12324630
"Wed, July 26, 2017",91.93,11810320
"Tue, July 25, 2017",92.8,16443930
"Mon, July 24, 2017",91.28,10719270
"Fri, July 21, 2017",90.89,10970710
"Thu, July 20, 2017",91.2,11556850
"Wed, July 19, 2017",91.2,11642710
"Tue, July 18, 2017",91.07,14709530
"Mon, July 17, 2017",91.39,14328720
"Fri, July 14, 2017",92.25,22213380
"Thu, July 13, 2017",93.1,12796040
"Wed, July 12, 2017",92.51,13538860
"Tue, July 11, 2017",92.83,13252240
"Mon, July 10, 2017",93.19,13913110
"Fri, July 07, 2017",93.85,12494720
"Thu, July 06, 2017",93.38,16590710
"Wed, July 05, 2017",93.68,17516980
"Mon, July 03, 2017",92.75,13208090
"Fri, June 30, 2017",91.4,16880080
"Thu, June 29, 2017",91.15,27686330
"Wed, June 28, 2017",89.82,17387500
"Tue, June 27, 2017",88.05,15403620
"Mon, June 26, 2017",87.24,10080920
"Fri, June 23, 2017",86.86,18803420
"Thu, June 22, 2017",87.02,12178690
"Wed, June 21, 2017",87.12,9999202
"Tue, June 20, 2017",87.52,11189920
"Mon, June 19, 2017",88.07,15872500
"Fri, June 16, 2017",86.18,16870540
"Thu, June 15, 2017",86.57,12509680
"Wed, June 14, 2017",87.09,16132440
"Tue, June 13, 2017",87.27,12541830
"Mon, June 12, 2017",86.98,16027580
"Fri, June 09, 2017",86.96,19077040
"Thu, June 08, 2017",84.95,17887320
"Wed, June 07, 2017",83.91,13701000
"Tue, June 06, 2017",82.96,12187210
"Mon, June 05, 2017",82.79,9069111
"Fri, June 02, 2017",82.64,14973620
"Thu, June 01, 2017",83.06,17098250
"Wed, May 31, 2017",82.15,28308020
"Tue, May 30, 2017",83.9,12591880
"Fri, May 26, 2017",85.36,8111823
"Thu, May 25, 2017",85.35,12237710
"Wed, May 24, 2017",85.71,9915730
"Tue, May 23, 2017",85.76,11749300
"Mon, May 22, 2017",84.7,11627200
"Fri, May 19, 2017",84.78,13390940
"Thu, May 18, 2017",83.96,23342620
"Wed, May 17, 2017",84.27,24664200
"Tue, May 16, 2017",87.61,9786440
"Mon, May 15, 2017",87.34,8777861
"Fri, May 12, 2017",86.92,8737097
"Thu, May 11, 2017",87.16,10899810
"Wed, May 10, 2017",87.43,8325757
"Tue, May 09, 2017",86.75,10257780
"Mon, May 08, 2017",87.1,8161744
"Fri, May 05, 2017",87,9429564
"Thu, May 04, 2017",87.1,11537500
"Wed, May 03, 2017",87,11533590
"Tue, May 02, 2017",86.5,14116010
"Mon, May 01, 2017",87.06,15701860
"Fri, April 28, 2017",87,10754410
"Thu, April 27, 2017",87.61,13321400
"Wed, April 26, 2017",88.43,12827000
"Tue, April 25, 2017",88.26,18245360
"Mon, April 24, 2017",87.5,25407580
"Fri, April 21, 2017",84.52,19801590
"Thu, April 20, 2017",85.55,15609030
