Date,Open,High,Low,Close,Adj Close,Volume
2/28/1994,10,10,10,10,2.603248,0
3/1/1994,10,10,10,10,2.603248,0
3/2/1994,10.01,10.01,10.01,10.01,2.605854,0
3/3/1994,9.96,9.96,9.96,9.96,2.592837,0
3/4/1994,9.96,9.96,9.96,9.96,2.592837,0
3/7/1994,10,10,10,10,2.603248,0
3/8/1994,9.95,9.95,9.95,9.95,2.590234,0
3/9/1994,9.95,9.95,9.95,9.95,2.590234,0
3/10/1994,9.85,9.85,9.85,9.85,2.564203,0
3/11/1994,9.88,9.88,9.88,9.88,2.572009,0
3/14/1994,9.85,9.85,9.85,9.85,2.564203,0
3/15/1994,9.88,9.88,9.88,9.88,2.572009,0
3/16/1994,9.96,9.96,9.96,9.96,2.592837,0
3/17/1994,9.96,9.96,9.96,9.96,2.592837,0
3/18/1994,9.86,9.86,9.86,9.86,2.566803,0
3/21/1994,9.83,9.83,9.83,9.83,2.558995,0
3/22/1994,9.9,9.9,9.9,9.9,2.577219,0
3/23/1994,9.93,9.93,9.93,9.93,2.585028,0
3/24/1994,9.82,9.82,9.82,9.82,2.556391,0
3/25/1994,9.77,9.77,9.77,9.77,2.543376,0
3/28/1994,9.78,9.78,9.78,9.78,2.54598,0
3/29/1994,9.69,9.69,9.69,9.69,2.522549,0
3/30/1994,9.65,9.65,9.65,9.65,2.512135,0
3/31/1994,9.65,9.65,9.65,9.65,2.5268,0
4/4/1994,9.38,9.38,9.38,9.38,2.456102,0
4/5/1994,9.47,9.47,9.47,9.47,2.479668,0
4/6/1994,9.51,9.51,9.51,9.51,2.490143,0
4/7/1994,9.55,9.55,9.55,9.55,2.500617,0
4/8/1994,9.5,9.5,9.5,9.5,2.487524,0
4/11/1994,9.52,9.52,9.52,9.52,2.492761,0
4/12/1994,9.55,9.55,9.55,9.55,2.500617,0
4/13/1994,9.51,9.51,9.51,9.51,2.490143,0
4/14/1994,9.48,9.48,9.48,9.48,2.482286,0
4/15/1994,9.48,9.48,9.48,9.48,2.482286,0
4/18/1994,9.38,9.38,9.38,9.38,2.456102,0
4/19/1994,9.39,9.39,9.39,9.39,2.458721,0
4/20/1994,9.43,9.43,9.43,9.43,2.469195,0
4/21/1994,9.55,9.55,9.55,9.55,2.500617,0
4/22/1994,9.55,9.55,9.55,9.55,2.500617,0
4/25/1994,9.6,9.6,9.6,9.6,2.513707,0
4/26/1994,9.64,9.64,9.64,9.64,2.524183,0
4/28/1994,9.5,9.5,9.5,9.5,2.487524,0
4/29/1994,9.46,9.46,9.46,9.46,2.492265,0
5/2/1994,9.45,9.45,9.45,9.45,2.489632,0
5/3/1994,9.42,9.42,9.42,9.42,2.481727,0
5/4/1994,9.41,9.41,9.41,9.41,2.479091,0
5/5/1994,9.44,9.44,9.44,9.44,2.486995,0
5/6/1994,9.27,9.27,9.27,9.27,2.44221,0
5/9/1994,9.18,9.18,9.18,9.18,2.418497,0
5/10/1994,9.29,9.29,9.29,9.29,2.447479,0
5/11/1994,9.2,9.2,9.2,9.2,2.423766,0
5/12/1994,9.24,9.24,9.24,9.24,2.434305,0
5/13/1994,9.29,9.29,9.29,9.29,2.447479,0
5/16/1994,9.32,9.32,9.32,9.32,2.455381,0
5/17/1994,9.5,9.5,9.5,9.5,2.502802,0
5/18/1994,9.49,9.49,9.49,9.49,2.50017,0
5/19/1994,9.52,9.52,9.52,9.52,2.508073,0
5/20/1994,9.47,9.47,9.47,9.47,2.4949,0
5/23/1994,9.34,9.34,9.34,9.34,2.460652,0
5/24/1994,9.37,9.37,9.37,9.37,2.468552,0
5/25/1994,9.39,9.39,9.39,9.39,2.473823,0
