"date","Stock","Close"
2018-01-08,"BND",81.27
2018-01-05,"BND",81.26
2018-01-04,"BND",81.37
2018-01-03,"BND",81.41
2018-01-02,"BND",81.34
2017-12-29,"BND",81.57
2017-12-28,"BND",81.44
2017-12-27,"BND",81.49
2017-12-26,"BND",81.24
2017-12-22,"BND",81.37
2017-12-21,"BND",81.33
2017-12-20,"BND",81.28
2017-12-19,"BND",81.44
2017-12-18,"BND",81.69
2017-12-15,"BND",81.82
2017-12-14,"BND",81.81
2017-12-13,"BND",81.78
2017-12-12,"BND",81.55
2017-12-11,"BND",81.56
2017-12-08,"BND",81.62
2017-12-07,"BND",81.65
2017-12-06,"BND",81.76
2017-12-05,"BND",81.67
2017-12-04,"BND",81.57
2017-12-01,"BND",81.56
2017-11-30,"BND",81.51
2017-11-29,"BND",81.63
2017-11-28,"BND",81.83
2017-11-27,"BND",81.83
2017-11-24,"BND",81.86
2017-11-22,"BND",81.88
2017-11-21,"BND",81.71
2017-11-20,"BND",81.64
2017-11-17,"BND",81.69
2017-11-16,"BND",81.61
2017-11-15,"BND",81.72
2017-11-14,"BND",81.53
2017-11-13,"BND",81.43
2017-11-10,"BND",81.42
2017-11-09,"BND",81.75
2017-11-08,"BND",81.83
2017-11-07,"BND",81.89
2017-11-06,"BND",81.86
2017-11-03,"BND",81.8
2017-11-02,"BND",81.73
2017-11-01,"BND",81.65
2017-10-31,"BND",81.77
2017-10-30,"BND",81.82
2017-10-27,"BND",81.63
2017-10-26,"BND",81.45
2017-10-25,"BND",81.55
2017-10-24,"BND",81.62
2017-10-23,"BND",81.76
2017-10-20,"BND",81.69
2017-10-19,"BND",81.89
2017-10-18,"BND",81.85
2017-10-17,"BND",81.98
2017-10-16,"BND",81.97
2017-10-13,"BND",82.05
2017-10-12,"BND",81.88
2017-10-11,"BND",81.81
2017-10-10,"BND",81.77
2017-10-09,"BND",81.73
2017-10-06,"BND",81.65
2017-10-05,"BND",81.74
2017-10-04,"BND",81.8
2017-10-03,"BND",81.8
2017-10-02,"BND",81.76
2017-09-29,"BND",81.96
2017-09-28,"BND",81.95
2017-09-27,"BND",81.93
2017-09-26,"BND",82.18
2017-09-25,"BND",82.22
2017-09-22,"BND",82.04
2017-09-21,"BND",81.96
2017-09-20,"BND",81.98
2017-09-19,"BND",82.05
2017-09-18,"BND",82.11
2017-09-15,"BND",82.17
2017-09-14,"BND",82.16
2017-09-13,"BND",82.11
2017-09-12,"BND",82.21
2017-09-11,"BND",82.33
2017-09-08,"BND",82.58
2017-09-07,"BND",82.67
2017-09-06,"BND",82.41
2017-09-05,"BND",82.55
2017-09-01,"BND",82.21
2017-08-31,"BND",82.52
2017-08-30,"BND",82.45
2017-08-29,"BND",82.46
