"state_code","sex","age","race","hispanic","education","employment_status","total_income","wage_income","hrs_worked","weeks_worked","weight","metro","hourly_wage"
1,"Male",55,"Non-hispanic White",0,"Graduate Degree",1,356050,356000,60,6,2558.5,4,988.888888888889
1,"Female",45,"Non-hispanic White",0,"Graduate Degree",1,80000,80000,20,4,3010,4,1000
1,"Male",34,"Non-hispanic White",0,"HS Diploma",1,39000,35000,40,6,4063.5,0,145.833333333333
1,"Male",59,"Black",0,"Some College",1,25200,12000,32,6,18963,4,62.5
1,"Male",45,"Non-hispanic White",0,"HS Diploma",1,6000,6000,40,3,1580.25,1,50
1,"Female",52,"Non-hispanic White",0,"Some College",1,7500,7500,32,5,827.75,1,46.875
1,"Female",22,"Black",0,"Some College",1,8000,8000,40,2,1881.25,4,100
1,"Male",45,"Other/Multiracial",1,"No HS Diploma",1,17500,17500,40,6,48536.25,1,72.9166666666667
1,"Female",39,"Other/Multiracial",1,"No HS Diploma",2,12000,12000,32,4,17232.25,1,93.75
1,"Male",57,"Non-hispanic White",0,"HS Diploma",3,7400,7400,35,3,3386.25,0,70.4761904761905
1,"Female",39,"Black",0,"HS Diploma",1,22800,18000,40,6,2934.75,4,75
1,"Male",49,"Black",0,"HS Diploma",1,45000,45000,40,6,3010,4,187.5
1,"Female",46,"Other/Multiracial",1,"HS Diploma",1,60000,60000,60,6,40710.25,0,166.666666666667
1,"Male",35,"Non-hispanic White",0,"No HS Diploma",1,60000,0,60,6,8503.25,4,0
1,"Male",55,"Black",0,"HS Diploma",1,20000,20000,50,5,903,0,80
1,"Female",56,"Black",0,"HS Diploma",1,25000,25000,12,6,978.25,0,347.222222222222
1,"Female",41,"Black",0,"Some College",1,7200,2400,20,6,3160.5,4,20
1,"Female",18,"Non-hispanic White",0,"HS Diploma",3,7900,7900,25,6,5568.5,0,52.6666666666667
1,"Female",18,"Black",0,"HS Diploma",1,12000,12000,30,6,35593.25,0,66.6666666666667
1,"Female",33,"Non-hispanic White",0,"Graduate Degree",1,90000,90000,49,6,12040,4,306.122448979592
1,"Male",44,"Non-hispanic White",0,"Some College",1,47000,38000,56,6,11739,4,113.095238095238
1,"Male",33,"Other/Multiracial",2,"HS Diploma",1,18800,9400,20,6,53879,4,78.3333333333333
1,"Male",24,"Non-hispanic White",0,"HS Diploma",1,15000,15000,32,6,16404.5,4,78.125
1,"Female",23,"Non-hispanic White",0,"Some College",1,5000,5000,45,6,11889.5,1,18.5185185185185
1,"Male",25,"Non-hispanic White",0,"HS Diploma",1,25000,25000,50,6,28068.25,1,83.3333333333333
1,"Female",33,"Non-hispanic White",0,"College Degree",1,42700,0,55,6,7073.5,4,0
1,"Male",41,"Non-hispanic White",0,"College Degree",1,49000,49000,50,6,978.25,0,163.333333333333
1,"Female",27,"Non-hispanic White",0,"Some College",1,3000,3000,39,2,827.75,0,38.4615384615385
1,"Female",48,"Non-hispanic White",0,"Some College",2,47000,35000,40,5,4289.25,4,175
1,"Male",21,"Non-hispanic White",0,"HS Diploma",1,14100,14100,27,6,12040,4,87.037037037037
1,"Male",18,"Non-hispanic White",0,"HS Diploma",1,17500,17500,35,3,7525,4,166.666666666667
1,"Male",25,"Non-hispanic White",0,"HS Diploma",1,16000,16000,40,6,978.25,0,66.6666666666667
1,"Female",26,"Non-hispanic White",0,"Some College",1,6400,6400,30,6,1204,0,35.5555555555556
1,"Male",51,"Black",0,"HS Diploma",1,9000,9000,50,6,6622,4,30
1,"Male",55,"Non-hispanic White",0,"HS Diploma",1,51800,50000,50,6,1354.5,0,166.666666666667
1,"Female",61,"Non-hispanic White",0,"Some College",1,30000,30000,40,6,4590.25,4,125
1,"Female",60,"Non-hispanic White",0,"College Degree",1,20000,20000,40,6,10008.25,4,83.3333333333333
1,"Female",61,"Black",0,"HS Diploma",1,31000,31000,36,6,2633.75,4,143.518518518519
1,"Male",41,"Black",0,"HS Diploma",1,45000,45000,40,6,4590.25,4,187.5
1,"Female",37,"Non-hispanic White",0,"HS Diploma",1,60000,60000,40,6,8202.25,1,250
1,"Male",37,"Non-hispanic White",0,"Some College",1,60000,60000,40,6,11814.25,1,250
1,"Female",60,"Black",0,"Some College",1,64000,64000,40,6,903,0,266.666666666667
1,"Female",51,"Non-hispanic White",0,"Some College",1,36000,36000,42,6,8578.5,4,142.857142857143
1,"Male",50,"Non-hispanic White",0,"College Degree",1,50000,50000,40,6,3461.5,0,208.333333333333
1,"Female",25,"Non-hispanic White",0,"HS Diploma",1,24500,24500,35,3,4966.5,4,233.333333333333
1,"Male",28,"Non-hispanic White",0,"HS Diploma",1,22100,22100,40,6,29197,0,92.0833333333333
1,"Female",42,"Non-hispanic White",0,"HS Diploma",1,13400,13400,37,6,2934.75,0,60.3603603603604
1,"Female",53,"Non-hispanic White",0,"Graduate Degree",1,50000,50000,30,5,752.5,0,333.333333333333
1,"Male",23,"Black",0,"HS Diploma",1,22000,22000,40,6,7600.25,4,91.6666666666667
1,"Female",52,"Non-hispanic White",0,"Some College",2,157900,11200,40,3,13018.25,4,93.3333333333333
1,"Male",24,"Non-hispanic White",0,"No HS Diploma",1,22900,22900,40,6,17006.5,4,95.4166666666667
1,"Male",31,"Black",0,"HS Diploma",1,16000,16000,40,6,15351,4,66.6666666666667
1,"Female",39,"Black",0,"Some College",1,35000,35000,40,6,8202.25,4,145.833333333333
1,"Female",48,"Hispanic White",4,"Some College",1,50000,50000,40,6,5342.75,4,208.333333333333
1,"Male",30,"Non-hispanic White",0,"Graduate Degree",1,75000,63000,40,6,6321,4,262.5
1,"Male",39,"Non-hispanic White",0,"Some College",1,38404,38400,40,6,1429.75,0,160
1,"Male",47,"Non-hispanic White",0,"HS Diploma",1,356100,356000,50,6,9933,4,1186.66666666667
1,"Female",43,"Black",0,"HS Diploma",1,38000,38000,40,6,9632,4,158.333333333333
1,"Female",32,"Non-hispanic White",0,"HS Diploma",1,22000,22000,32,6,7148.75,4,114.583333333333
1,"Female",49,"Black",0,"Some College",1,11500,11500,25,6,20919.5,4,76.6666666666667
