SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE
PAST SALE,September-27-2017,propertytype:Townhouse,USD758500,3,3.0,2062,1694,1974,58,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1927-N-Woodley-St-22207/home/11234829,MRIS,AR10016039,N,Y,"Friday- Sep 22, 2017"
PAST SALE,September-28-2017,propertytype:Townhouse,USD845000,3,3.5,1788,905,1993,83,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1111-N-Utah-St-22201/home/11244422,MRIS,AR10035700,N,Y,"Sunday- Sep 24, 2017"
PAST SALE,,propertytype:Single Family Residential,USD1000000,3,2.5,1881,7886,1937,NA,,NA,NA,http://www.redfin.com/VA/Arlington/3174-21st-St-N-22201/home/11247484,,,N,Y,NA
PAST SALE,September-6-2017,propertytype:Single Family Residential,USD1559000,5,8.5,3503,9642,2005,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1803-N-Stafford-St-22207/home/11233747,MRIS,AR10056528,N,Y,"Friday- Aug 11, 2017"
PAST SALE,September-13-2017,propertytype:Single Family Residential,USD920000,4,3.0,2400,6522,1939,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4202-25th-St-N-22207/home/11232436,MRIS,AR10001516,N,Y,"Friday- Aug 25, 2017"
PAST SALE,September-5-2017,propertytype:Townhouse,USD495000,3,2.0,1860,NA,1944,476,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2829-S-Buchanan-St-22206/unit-2400/home/11268486,MRIS,AR10021215,N,Y,"Wednesday- Aug 09, 2017"
PAST SALE,September-21-2017,propertytype:Townhouse,USD523300,3,2.5,1400,NA,1980,403,Sold,NA,NA,http://www.redfin.com/VA/Arlington/728-15th-St-S-22202/unit-2/home/11275566,MRIS,AR10063586,N,Y,"Sunday- Sep 10, 2017"
PAST SALE,September-14-2017,propertytype:Single Family Residential,USD1225000,4,3.5,1872,7080,1939,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3174-20th-St-N-22201/home/11247785,MRIS,AR10057709,N,Y,"Sunday- Aug 27, 2017"
PAST SALE,,propertytype:Townhouse,USD621500,3,3.0,1836,NA,1981,NA,,NA,NA,http://www.redfin.com/VA/Arlington/3362-2nd-St-S-22204/home/11262235,,,N,Y,NA
PAST SALE,September-19-2017,propertytype:Townhouse,USD749900,3,3.0,2250,NA,2017,365,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1316-S-Rolfe-St-22204/home/114033619,MRIS,AR10001144,N,Y,"Wednesday- Sep 06, 2017"
