URL,ADDRESS,ZIP_CODE,LAT_LON,CITY_STATE,LOCATION
http://www.redfin.com/VA/Arlington/1927-N-Woodley-St-22207/home/11234829,1927 Woodley St,'222070000,38.8955535&-77.1208915,"Arlington, Virginia",Richard R Bassett
http://www.redfin.com/VA/Arlington/1111-N-Utah-St-22201/home/11244422,1111 Utah St N,'222010000,38.884396&-77.113992,"Arlington, Virginia",Fairlee Court
http://www.redfin.com/VA/Arlington/3174-21st-St-N-22201/home/11247484,3174 21st St N,'222010000,38.8940159&-77.0976141,"Arlington, Virginia",
http://www.redfin.com/VA/Arlington/1803-N-Stafford-St-22207/home/11233747,1803 Stafford St,'222070000,38.892982&-77.111599,"Arlington, Virginia",Arlington
http://www.redfin.com/VA/Arlington/4202-25th-St-N-22207/home/11232436,4202 25th St N,'222070000,38.9047476&-77.1131214,"Arlington, Virginia",Lee Heights
http://www.redfin.com/VA/Arlington/2829-S-Buchanan-St-22206/unit-2400/home/11268486,2829 Buchanan St S Unit A1,'222060000,38.8408584&-77.1008119,"Arlington, Virginia",Fairlington
http://www.redfin.com/VA/Arlington/728-15th-St-S-22202/unit-2/home/11275566,728 15th St S #2,'222020000,38.8599099&-77.0591387,"Arlington, Virginia",Southampton
http://www.redfin.com/VA/Arlington/3174-20th-St-N-22201/home/11247785,3174 20th St N,'222010000,38.8934337&-77.0970161,"Arlington, Virginia",Lyon Village
http://www.redfin.com/VA/Arlington/3362-2nd-St-S-22204/home/11262235,3362 2nd St S,'222040000,38.8687073&-77.0952049,"Arlington, Virginia",
http://www.redfin.com/VA/Arlington/1316-S-Rolfe-St-22204/home/114033619,1316 S Rolfe St,'222040000,38.8628703&-77.0746634,"Arlington, Virginia",Carver Place
http://www.redfin.com/VA/Arlington/3638-Vacation-Ln-22207/home/11233037,3638 Vacation Ln,'222070000,38.899504&-77.10442,"Arlington, Virginia",Maywood/lorcom Grove
http://www.redfin.com/VA/Arlington/6943-N-Four-Mile-Run-Dr-22213/home/11226226,6943 N Four Mile Run Dr,'222130000,38.8887858&-77.1662679,"Arlington, Virginia",
