SALE.TYPE,SOLD.DATE,PROPERTY.TYPE,PRICE,BEDS,BATHS,SQUARE.FEET,LOT.SIZE,YEAR.BUILT,HOA.MONTH,STATUS,NEXT.OPEN.HOUSE.START.TIME,NEXT.OPEN.HOUSE.END.TIME,URL,SOURCE,MLS.,FAVORITE,INTERESTED,LIST.DATE,ADDRESS,ZIP_CODE,LAT_LON,CITY_STATE,LOCATION,CITY,STATE,LATITUDE,LONGITUDE,PROPERTY.SIZE,metro_distance
PAST SALE,September-29-2017,Condo/Co-op,28e4,2,1,1055,1055,1964,584,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1830-Columbia-Pike-22204/unit-205/home/11272669,MRIS,AR9928984,N,Y,"Tuesday- Sep 26, 2017",1830 Columbia Pike #205,22204,38.8649114&-77.0760334,"Arlington, va",Lancaster Condominiums,Arlington,VA,38.8649114,-77.0760334,1055,0.8672052914075247
PAST SALE,September-6-2017,Condo/Co-op,405e3,2,2,1030,1030,1966,392,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4139-S-Four-Mile-Run-Dr-22204/unit-204/home/21971541,MRIS,AR10019137,N,Y,"Friday- Aug 11, 2017",4139 Four Mile Run Dr S #204,22204,38.85081965&-77.09750803,"Arlington, va",West Village At Shirlington,Arlington,VA,38.85081965,-77.09750803,1030,2.1850416549173457
PAST SALE,September-19-2017,Condo/Co-op,51e4,2,2,1209,1209,2006,551,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-432W/home/12042691,MRIS,AR9926090,N,Y,"Wednesday- Sep 06, 2017",3600 S Glebe Rd Unit 432W,22202,38.8422316&-77.0516627,"Arlington, va",Eclipse On Center,Arlington,VA,38.8422316,-77.0516627,1209,0.7918705026270257
PAST SALE,September-29-2017,Condo/Co-op,395e3,2,2,1135,1135,1966,445,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4141-S-Four-Mile-Run-Dr-22204/unit-103/home/23385384,MRIS,AR10037560,N,Y,"Tuesday- Sep 26, 2017",4141 Four Mile Run Dr #103,22204,38.8504067&-77.097965,"Arlington, va",West Village Of Shirlington,Arlington,VA,38.8504067,-77.097965,1135,2.2188678781334827
PAST SALE,September-25-2017,Condo/Co-op,339900,2,1,930,930,1983,345,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2909-S-Woodley-St-22206/unit-116-13/home/11267504,MRIS,AR10037567,N,Y,"Monday- Sep 18, 2017",2909-F Woodley St S Unit 116-13,22206,38.8414273&-77.0960413,"Arlington, va",Courtbridge I&ii,Arlington,VA,38.8414273,-77.0960413,930,2.4463602919578413
PAST SALE,September-12-2017,Condo/Co-op,415e3,2,2.5,1606,1606,1976,911,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1101-S-Arlington-Ridge-Rd-22202/unit-106/home/11274704,MRIS,AR9812459,N,Y,"Wednesday- Aug 23, 2017",1101 Arlington Ridge Rd #106,22202,38.8635823&-77.0657803,"Arlington, va",The Representative,Arlington,VA,38.8635823,-77.0657803,1606,0.3075995524643319
PAST SALE,September-7-2017,Condo/Co-op,319e3,2,1,800,800,1950,300,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2831-S-Wakefield-St-22206/unit-D/home/11267147,MRIS,AR10012918,N,Y,"Sunday- Aug 13, 2017",2831 S Wakefield St Unit D,22206,38.8430515&-77.0965773,"Arlington, va",The Arlington,Arlington,VA,38.8430515,-77.0965773,800,2.402844425036251
PAST SALE,September-8-2017,Condo/Co-op,505e3,2,2,1164,1164,2006,505,Sold,NA,NA,http://www.redfin.com/VA/Arlington/3600-S-Glebe-Rd-22202/unit-317W/home/12042626,MRIS,AR9932245,N,Y,"Tuesday- Aug 15, 2017",3600 Glebe Rd S Unit 317W,22202,38.8422316&-77.0516627,"Arlington, va",Eclipse On Center Park,Arlington,VA,38.8422316,-77.0516627,1164,0.7918705026270257
PAST SALE,September-15-2017,Condo/Co-op,357500,2,2,1253,1253,1965,754,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1300-Army-Navy-Dr-22202/unit-509/home/11275106,MRIS,AR9992144,N,Y,"Tuesday- Aug 29, 2017",1300 Army Navy Dr #509,22202,38.8635617&-77.0669817,"Arlington, va",Horizon House,Arlington,VA,38.8635617,-77.0669817,1253,0.3717934824418678
PAST SALE,September-15-2017,Condo/Co-op,57e4,2,2,1009,1009,1998,552,Sold,NA,NA,http://www.redfin.com/VA/Arlington/901-N-Monroe-St-22201/unit-1008/home/11278119,MRIS,AR10004072,N,Y,"Tuesday- Aug 29, 2017",901 Monroe St N #1008,22201,38.8831242&-77.1026914,"Arlington, va",Virginia Square,Arlington,VA,38.8831242,-77.1026914,1009,0.04986378387524908
PAST SALE,September-22-2017,Condo/Co-op,31e4,2,2,1152,1152,2005,560,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4500-S-Four-Mile-Run-Dr-22204/unit-514/home/11281906,MRIS,AR10013805,N,Y,"Tuesday- Sep 12, 2017",4500 Four Mile Run Dr S #514,22204,38.8541521&-77.1060381,"Arlington, va",The Brittany,Arlington,VA,38.8541521,-77.1060381,1152,1.945935481415391
PAST SALE,September-22-2017,Condo/Co-op,312500,1,1,851,851,1973,549,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4141-N-Henderson-Rd-22203/unit-804/home/11257352,MRIS,AR10014359,N,Y,"Tuesday- Sep 12, 2017",4141 Henderson Rd #804,22203,38.8757817&-77.1093699,"Arlington, va",Hyde Park,Arlington,VA,38.8757817,-77.1093699,851,0.44242514139055905
PAST SALE,September-22-2017,Townhouse,464e3,2,2.5,1296,1296,1981,358,Sold,NA,NA,http://www.redfin.com/VA/Arlington/2119-N-Monroe-St-22207/unit-3/home/11233188,MRIS,AR10024098,N,Y,"Tuesday- Sep 12, 2017",2119 Monroe St #3,22207,38.896489&-77.104132,"Arlington, va",Maywood,Arlington,VA,38.896489,-77.104132,1296,0.8065869396521237
PAST SALE,September-13-2017,Condo/Co-op,17e5,2,2.5,1922,1922,2012,605,Sold,NA,NA,http://www.redfin.com/VA/Arlington/1700-N-Clarendon-Blvd-22209/unit-117/home/49797926,MRIS,AR9983747,N,Y,"Friday- Aug 25, 2017",1700 Clarendon Blvd #117,22209,38.8928825&-77.0779242,"Arlington, va",Gaslight Square,Arlington,VA,38.8928825,-77.0779242,1922,0.385448600040971
PAST SALE,September-15-2017,Single Family Residential,613e3,2,1,1652,3572,1937,NA,Sold,NA,NA,http://www.redfin.com/VA/Arlington/4020-20th-St-N-22207/home/11233933,MRIS,AR9989911,N,Y,"Tuesday- Aug 29, 2017",4020 20th St N,22207,38.8944718&-77.10875,"Arlington, va",Cherrydale,Arlington,VA,38.8944718,-77.10875,3572,0.8545327825715168
